species,speed,sd,n_tracks,source
Falco concolor,15.2,1.9,5,
Falco eleonorae,12.8,2.3,2,Bruderer2001
Falco naumanni,11.3,2.8,12,Bruderer2001
Falco peregrinus,12.1,3.5,13,Bruderer2001
Falco peregrinoides,14.4,0.1,2,
Falco subbuteo,11.3,2.2,20,Bruderer2001
Falco tinnunculus,10.1,NA,1,Alerstam2007
Falco tinnunculus,7.6,0,1,
Falco tinnunculus,12.3,2.5,152,
Falco vespertinus,12.8,1,4,Bruderer2001
Fringilla coelebs,12.8,1.9,23,Alerstam2007
Fringilla coelebs,12.8,2.4,52,Bruderer2001
Fringilla montifringilla,15,2.9,4,Alerstam2007
Fringilla montifringilla,11.6,0.2,2,Bruderer2001
Ficedula hypoleuca,9.5,1.8,21,
Gallinago gallinago,17.1,2.7,22,Alerstam2007
Gallinago gallinago,15.5,0,1,
Garrulus glandarius,6.7,1,2,Alerstam2007
Garrulus glandarius,12.9,3.8,2,Bruderer2001
Gavia adamsii,18.7,0.5,2,Alerstam2007
Gavia arctica,19.3,2.1,13,Alerstam2007
Gavia stellata,18.6,3.9,7,Alerstam2007
Glareola pratincola,12.1,1.6,8,
Glareola nordmanii,11.3,1.9,4,
Grus grus,15,2.7,12,Alerstam2007
Grus grus,13.6,0,1,Bruderer2001
Grus grus,14.5,,,
Gyps fulvus,16,2.6,77,
Gyps fulvus,16.5,2.2,23,
Delichon urbica,11,3.1,76,
Haematopus ostralegus,13,2.5,19,Alerstam2007
Haliaeetus albicilla,13.6,0.9,2,Alerstam2007
Haliaeetus albicilla,13.1,0,1,
Hieraaetus fasciatus,11,2.2,2,
Hieraaetus fasciatus,14,1.5,2,
Hieraaetus pennatus,11.3,1.7,2,Bruderer2001
Hieraaetus pennatus,13.8,2.7,25,
Hieraaetus pennatus,12.5,3.1,21,
Hirundo rupestris,9.9,NA,1,Bruderer2001
Hirundo rustica,10,2,2,Alerstam2007
Hirundo rustica,11.3,2.9,108,
Hirundo daurica,11.6,2,3,
Hippolais icterina,6.7,1.8,1,
Hippolais polyglotta,5.7,0,1,
Larus argentatus,12.8,1.8,18,Alerstam2007
Larus canus,13.4,2.9,36,Alerstam2007
Larus fuscus,13.1,1.9,11,Alerstam2007
Larus fuscus,11.9,NA,11,Bruderer2001
Larus glaucoides,15.9,NA,1,Alerstam2007
Larus hyperboreus,13.4,0.8,3,Alerstam2007
Larus marinus,13.7,1.2,4,Alerstam2007
Larus minutus,11.5,0.1,2,Alerstam2007
Larus ridibundus,11.9,1.6,19,Alerstam2007
Larus ridibundus,11.2,3,15,
Larus canus,11.2,0,1,
Larus cachinnans,14,2.8,239,
Larus fuscus,11.9,2.2,11,
Lanius collurio,12.9,2.7,5,
Limosa lapponica,18.3,2.1,15,Alerstam2007
Lullula arborea,9.8,0,1,Bruderer2001
Melanitta fusca,20.1,4.7,32,Alerstam2007
Melanitta nigra,22.1,4,14,Alerstam2007
Mergus merganser,19.7,1.1,2,Alerstam2007
Mergus merganser,21.2,0,1,Bruderer2001
Mergus serrator,20,2.9,33,Alerstam2007
Merops apiaster,12.2,2.6,28,Bruderer2001
Milvus migrans,11.7,NA,7,Bruderer2001
Milvus migrans,13.3,2.3,60,
Milvus migrans,11.7,1.3,7,
Milvus migrans,12.1,2.9,49,
Milvus migrans,11.5,1.3,2,Bruderer2001
Milvus milvus,12,0.3,2,Alerstam2007
Milvus milvus,14.8,0.9,3,
