species,speed,sd,n_tracks,source
Pandion haliaetus,13.3,2.7,5,Alerstam2007
Pandion haliaetus,11.4,NA,10,Bruderer2001
Parus ater,10.6,2.3,2,Alerstam2007
Parus major,13.6,NA,1,Bruderer2001
Pelecanus onocrotalus,15.6,NA,1,Bruderer2001
Pernis apivorus,12.5,2.3,13,Alerstam2007
Pernis apivorus,10.1,NA,16,Bruderer2001
Phalacrocorax carbo,15.2,3,35,Alerstam2007
Phalaropus fulicarius,12.4,2.3,6,Alerstam2007
Phalaropus lobatus,13.1,NA,1,Alerstam2007
Philomachus pugnax,17.4,1,3,Alerstam2007
Philomachus pugnax,13.6,NA,3,Bruderer2001
Phoenicopterus ruber,15.2,NA,3,Bruderer2001
Platalea leucorodia,14.1,NA,7,Bruderer2001
Plegadis falcinellus,12.6,NA,5,Bruderer2001
Pluvialis dominica,13.7,NA,1,Alerstam2007
Pluvialis squatarola,17.9,3.9,14,Alerstam2007
Polysticta stelleri,21.9,NA,1,Alerstam2007
Porzana porzana,13.9,NA,1,Alerstam2007
Prunella modularis,12.2,NA,1,Bruderer2001
Pyrrhula pyrrhula,13.4,NA,1,Alerstam2007
Riparia riparia,14.3,NA,1,Alerstam2007
Riparia riparia,11.3,NA,9,Bruderer2001
Rissa tridactyla,13.1,0.4,2,Alerstam2007
Somateria mollissima,17.9,2.4,240,Alerstam2007
Somateria spectabilis,16,0.3,2,Alerstam2007
Stercorarius longicaudus,13.6,1.9,3,Alerstam2007
Stercorarius parasiticus,13.8,2.2,7,Alerstam2007
Stercorarius pomarinus,15.2,2.3,16,Alerstam2007
Sterna caspia,12.1,NA,1,Alerstam2007
Sterna paradisaea,10.9,0.9,2,Alerstam2007
Sturnus vulgaris,16.2,4.3,4,Alerstam2007
Sturnus vulgaris,12.4,NA,9,Bruderer2001
Tadorna tadorna,15.4,NA,1,Alerstam2007
Tringa glareola,9.6,1.7,3,Alerstam2007
Tringa nebularia,12.3,3.3,5,Alerstam2007
Turdus iliacus,13.8,1.8,6,Alerstam2007
Turdus philomelos,11,2.1,6,Alerstam2007
Turdus philomelos,11.7,NA,8,Bruderer2001
Turdus pilaris,13,2.9,15,Alerstam2007
Turdus pilaris,12.4,NA,6,Bruderer2001
Turdus viscivorus,11.9,3.3,3,Alerstam2007
Turdus viscivorus,12.4,NA,2,Bruderer2001
Vanellus vanellus,12.8,1.3,14,Alerstam2007
Vanellus vanellus,11.9,NA,2,Bruderer2001
