name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Larus marinus,NA,1.56,1.69,0.5148,2,0.317,0.26520000000000005,8683.344824272503,0.857230641055966,-0,0.26520000000000005,13.977980000953291,11.449340773010135
Rissa tridactyla,NA,0.387,0.965,0.12771000000000002,2,0.101,0.06579,7494.83745057719,0.212626021416986,-0,0.06579,11.620335408724216,9.517684079802526
Stercorarius parasiticus,NA,0.39,1.05,0.1287,2,0.117,0.06630000000000001,8038.311914462022,0.2143119335058284,-0,0.06630000000000001,11.168789619266905,9.148268238975056
Catharacta skua,NA,1.35,1.37,0.44550000000000006,2,0.214,0.22950000000000004,7432.761598498858,0.7416122829884154,-0,0.22950000000000004,14.79403840343269,12.116914809662111
Diomedea exulans,NA,8.73,3.03,2.8809000000000005,2,0.611,1.4841000000000002,11164.368690379364,4.796684447062345,-0,1.4841000000000002,18.539057419328827,15.184827899683103
Phoebetria palpebrata,NA,2.84,2.18,0.9372,2,0.338,0.4828,10933.519078451001,1.560652820792332,-0,0.4828,15.029140107398382,12.310270282699545
Thalassarche chrysostoma,NA,3.79,2.18,1.2507000000000001,2,0.352,0.6443000000000001,10050.732415330178,2.0821707016043174,-0,0.6443000000000001,16.547357250886126,13.55295521123575
Thalassarche melanophris,NA,3.79,2.16,1.2507000000000001,2,0.356,0.6443000000000001,9867.349111352436,2.082834952800309,-0,0.6443000000000001,16.62378886892868,13.617042066677502
Oceanites oceanicus,NA,0.038,0.393,0.01254,2,0.0219,0.0064600000000000005,5013.419635689609,0.02087843800463682,-0,0.0064600000000000005,8.397350250056183,6.878038044095011
Daption capense,NA,0.433,0.875,0.14289000000000002,2,0.0773,0.07361000000000001,6967.188343051341,0.23788843281492528,-0,0.07361000000000001,12.669089390494953,10.37672158215547
Fulmarus glacialis,NA,0.815,1.13,0.26895,2,0.124,0.13855,7582.39641264136,0.44775728943632176,-0,0.13855,13.766151802181293,11.275262586147102
Macronectes giganteus,NA,5.19,1.99,1.7127000000000001,2,0.331,0.8823000000000001,8151.081646958833,2.850835588016176,-0,0.8823000000000001,19.23368455978112,15.753138427249613
Pachyptila desolata,NA,0.168,0.626,0.05544,2,0.046,0.028560000000000006,6091.77958936032,0.0923102675875363,-0,0.028560000000000006,10.922805299796693,8.946790488951905
