name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Haliaeetus vocifer,NA,2.6833,1.9,0.8854890000000001,2,0.54568,0.45616100000000004,7308.669427695487,1.474024410685292,-0,0.45616100000000004,15.796653844830953,12.938161173736336
Hieraaetus ayresii,NA,0.9883,1.23655,0.326139,2,0.22779,0.168011,6529.346794701159,0.5429755793100868,-0,0.168011,14.03363852501171,11.494673841549977
Hieraaetus pennatus,NA,0.696,1.2232,0.22968,2,0.18181,0.11832,7684.1486162048395,0.3823952838400349,-0,0.11832,12.552844781954866,10.281492557209683
Hieraaetus wahlbergi,NA,1.2094,1.4073,0.399102,2,0.26557,0.20559800000000003,7288.31916477791,0.6645726276549859,-0,0.20559800000000003,14.070983467661746,11.525790315410356
Kaupifalco monogrammicus,NA,0.30310000000000004,0.785,0.10002300000000001,2,0.07488,0.05152700000000001,6402.552187254597,0.16652694635835683,-0,0.05152700000000001,11.87557905102726,9.7269165095573
Melierax canorus,NA,0.7242000000000001,1.1083,0.23898600000000003,2,0.17236,0.12311400000000002,6592.721260534368,0.3978950638754767,-0,0.12311400000000002,13.36333523978051,10.945705030830032
Melierax metabates,NA,0.6354,1.0119,0.209682,2,0.14877,0.108018,6194.430404240364,0.3491449450887095,-0,0.108018,13.388384004738592,10.966742083992623
Micronisus gabar,NA,0.175,0.5981,0.057749999999999996,2,0.05441,0.02975,5241.073125643283,0.09613864141410967,-0,0.02975,11.327837270557106,9.278221478714014
Milvus aegyptius,NA,0.656,1.2947,0.21648,2,0.21396,0.11152000000000001,7979.296676293243,0.3604123222563449,-0,0.11152000000000001,11.962820050574102,9.798072757872283
Milvus migrans,NA,0.6307,1.309,0.208131,2,0.2152,0.10721900000000001,8161.90612343657,0.3466030901128542,-0,0.10721900000000001,11.74226302775522,9.61822420438451
Polemaetus bellicosus,NA,3.9318,2.119,1.2974940000000001,2,0.63981,0.6684060000000001,7472.105549118481,2.1601446014407983,-0,0.6684060000000001,16.990707881099453,13.916857302800002
Stephanoaetus coronatus,NA,3.375,1.52,1.11375,2,0.54153,0.5737500000000001,4365.136618547953,1.8538516279172215,-0,0.5737500000000001,19.065062100576185,15.617246370054232
Terathopius ecaudatus,NA,2.3916999999999997,1.8619,0.789261,2,0.35303,0.406589,8790.242337588334,1.3143552182938096,-0,0.406589,15.356817501027475,12.579189888122366
Trigonoceps occipitalis,NA,3.97,2.1625,1.3101,2,0.62696,0.67490000000000006,7814.079432268391,2.1809520450348314,-0,0.67490000000000006,16.87327130033119,13.820171437373096
Sagittarius serpentarius,NA,3.6771,2.1204,1.213443,2,0.55775,0.625107,8115.480377477646,2.020691259764732,-0,0.625107,16.609932985962832,13.605822558862362
Falco biarmicus,NA,0.5466,1.0291,0.180378,2,0.11231,0.092922,7418.00975884017,0.30039671070708973,-0,0.092922,12.625969769268032,10.342418757661088
Falco chicquera,NA,0.21619999999999998,0.6866,0.07134599999999999,2,0.05916,0.036754,6082.172241230225,0.11876908104287098,-0,0.036754,11.344965681107897,9.291958399193588
Falco concolor,NA,0.125,0.7098,0.04125,2,0.05753,0.02125,6994.619637550753,0.06867873391563631,-0,0.02125,9.294632124567537,7.612739336385939
Falco dickinsoni,NA,0.189,0.6691,0.06237,2,0.0523,0.032130000000000006,6285.024025666295,0.10384150077675346,-0,0.032130000000000006,10.988418977401116,9.00028315009227
Falco naumanni,NA,0.121,0.7217,0.03993,2,0.05576,0.02057,7240.032833799206,0.06649367726374862,-0,0.02057,9.118245518728786,7.468707153961984
Falco peregrinus,NA,0.477,1.032,0.15741,2,0.101795,0.08109,7937.43779502972,0.26212522701044866,-0,0.08109,12.048326950560984,9.8688510722905
Falco rupicoloides,NA,0.2553,0.836,0.08424900000000002,2,0.08449,0.04340100000000001,6952.929516784619,0.1402594798157236,-0,0.04340100000000001,10.867484302374216,8.900907831455498
Falco tinnunculus,NA,0.1815,0.7139,0.059895000000000004,2,0.06344,0.030855,6474.5461778433855,0.09974690518334275,-0,0.030855,10.495360932544973,8.597100625566432
Falco vespertinus,NA,0.1125,0.6972,0.037125000000000005,2,0.05437,0.019125000000000003,7032.906193842983,0.06182166884033783,-0,0.019125000000000003,9.054435733431738,7.416418897171212
Polihierax semitorquatus,NA,0.0595,0.3717,0.019635,2,0.02045,0.010115,4496.420729864162,0.032692072375472794,-0,0.010115,10.027342311300387,8.213516224514311
Asio capensis,NA,0.3533,0.9154,0.11658900000000001,2,0.1243,0.060061,6439.9244491221525,0.1941288773362147,-0,0.060061,11.57393829279231,9.480150008856903
Bubo africanus,NA,0.7416,1.1329,0.24472800000000003,2,0.20573,0.12607200000000002,6273.310330044996,0.40749301916102176,-0,0.12607200000000002,13.322524486164403,10.912689011736285
Bubo capensis,NA,1.0642,1.2493,0.35118600000000005,2,0.23579,0.18091400000000002,6423.310162630638,0.5846452310522205,-0,0.18091400000000002,14.310657867765057,11.721441010187384
Glaucidium capense,NA,0.0933,0.4036,0.030789,2,0.02948,0.015861,4013.7048526812778,0.051260438159123047,-0,0.015861,11.180485505753007,9.158253995144701
Glaucidium perlatum,NA,0.0884,0.3862,0.029172000000000003,2,0.02478,0.015028000000000001,4083.3090147385574,0.04857096130337748,-0,0.015028000000000001,11.225776960550856,9.195501680984005
Otus senegalensis,NA,0.08009999999999999,0.4678,0.026432999999999998,2,0.03368,0.013616999999999999,4980.106594155289,0.04401861450878654,-0,0.013616999999999999,9.869884009852289,8.084866740611604
Ptilopsis leucotis,NA,0.22569999999999998,0.6668,0.07448099999999999,2,0.06769,0.038369,5418.433168167936,0.12403598806860715,-0,0.038369,11.678463101265274,9.56654265080764
Strix woodfordii,NA,0.3448,0.7879,0.11378400000000001,2,0.12031,0.058616,5024.992801636396,0.18948708764864322,-0,0.058616,12.374391256984948,10.136802956882406
Tyto alba,NA,0.3489,0.9086,0.115137,2,0.11429,0.059313000000000005,6616.934756940213,0.19168780598108545,-0,0.059313000000000005,11.568714957725462,9.47545389726372
Tyto capensis,NA,0.4139,1.03825,0.13658700000000001,2,0.15201,0.07036300000000001,7047.873564783442,0.2273863462826841,-0,0.07036300000000001,11.456827345999084,9.383544071180797
Acrocephalus schoenobaenus,f,0.0111,0.1919,0.0036630000000000005,1,0.00724,0.0018870000000000002,2717.1848821868903,0.006100945764971619,0,0.0018870000000000002,7.971837541035491,6.531044707173959
Acrocephalus schoenobaenus,m,0.0114,0.1972,0.003762,1,0.00768,0.0019380000000000003,2748.926584082268,0.00626370704316344,-0,0.0019380000000000003,7.934234391112146,6.499477247290032
Acrocephalus scirpaceus,f,0.012199999999999999,0.1936,0.004026,1,0.00743,0.002074,2721.0663219119165,0.006701599429119992,-0,0.002074,8.190851279655817,6.709191409740666
Acrocephalus scirpaceus,m,0.012199999999999999,0.1956,0.004026,1,0.00802,0.002074,2671.916085648854,0.006706194649050739,0,0.002074,8.14886816732803,6.676344912040467
Alauda arvensis,f,0.033100000000000004,0.324,0.010923000000000002,1,0.018,0.005627000000000001,3647.644316282037,0.01818961256666274,-0,0.005627000000000001,8.832239646971583,7.23516811468091
Alauda arvensis,m,0.0349,0.3539,0.011517000000000001,1,0.0198,0.005933000000000001,3923.922101673513,0.019175923044334086,-0,0.005933000000000001,8.601470656376067,7.045657238759979
Plectrophenax nivalis,f,0.0363,0.3019,0.011979,1,0.01484,0.006171,3562.650305143972,0.019950986432073964,0,0.006171,9.435784561043267,7.730075130237496
Plectrophenax nivalis,m,0.0364,0.3208,0.012012000000000002,1,0.01612,0.006188000000000001,3740.299683335425,0.02000132708686544,-0,0.006188000000000001,9.162011765959612,7.505104265395707
Emberiza citrinella,f,0.0268,0.2697,0.008844000000000001,1,0.013,0.004556,3281.8523054394473,0.014727216355993129,-0,0.004556,9.022423202690613,7.391098131776024
Emberiza citrinella,m,0.027899999999999998,0.2723,0.009207,1,0.01368,0.004743,3251.2858281155304,0.015328986370090433,-0,0.004743,9.10051342456977,7.45465519817183
Chloris chloris,f,0.0304,0.2598,0.010032000000000001,1,0.01281,0.005168000000000001,3106.3078235812673,0.016698326087504427,-0,0.005168000000000001,9.587369825868214,7.852962048157651
Chloris chloris,m,0.027399999999999997,0.2739,0.009042,1,0.01383,0.004658,3265.143520132532,0.015057805103547008,-0,0.004658,9.01933483639553,7.388716234648279
Fringilla coelebs,f,0.0224,0.2624,0.007392,1,0.01305,0.003808,3186.133902455775,0.012303676802440164,-0,0.003808,8.616016307696686,7.057079951128049
Fringilla coelebs,m,0.0247,0.2688,0.008151,1,0.01344,0.0041990000000000005,3237.0831625829437,0.013572248559166375,-0,0.0041990000000000005,8.794892091002943,7.204520941082318
Anthus pratensis,f,0.0189,0.2482,0.006237,1,0.01031,0.003213,3254.6634956294274,0.010386428493460468,-0,0.003213,8.371048085466494,6.857524495577465
Anthus pratensis,m,0.0201,0.2699,0.006633,1,0.01167,0.0034170000000000003,3437.1472110491977,0.011043328730846283,-0,0.0034170000000000003,8.193984845351187,6.711861364848555
Motacilla alba,f,0.0228,0.2749,0.007524,1,0.01257,0.0038760000000000005,3423.924744610157,0.012525231692510824,-0,0.0038760000000000005,8.467683465421624,6.935809578825911
Motacilla alba,m,0.0251,0.275,0.008283,1,0.01297,0.004267000000000001,3379.966025232121,0.013789450052552478,-0,0.004267000000000001,8.741894333830095,7.16059023885102
Erithacus rubecula,f,0.020300000000000002,0.2286,0.006699000000000001,1,0.00972,0.0034510000000000005,2990.7353115968676,0.011154853223832722,-0,0.0034510000000000005,8.932901169644124,7.317804782490131
Erithacus rubecula,m,0.020300000000000002,0.2306,0.006699000000000001,1,0.01,0.0034510000000000005,2993.1066729867543,0.01115218472212519,-0,0.0034510000000000005,8.894079164249984,7.285412593701635
Luscinia svecica,f,0.0161,0.2124,0.005313,1,0.00995,0.0027370000000000003,2708.825385603941,0.008842740694636426,-0,0.0027370000000000003,8.577878431385031,7.025958459252149
Luscinia svecica,m,0.016300000000000002,0.2266,0.005379000000000001,1,0.01094,0.0027710000000000005,2842.340326965871,0.008956360658065089,-0,0.0027710000000000005,8.339025979221955,6.831160670639725
Passer domesticus,f,0.027800000000000002,0.2322,0.009174000000000002,1,0.01013,0.004726000000000001,2934.076161027954,0.015269301632819567,-0,0.004726000000000001,9.843250674409552,8.062564845486778
Passer domesticus,m,0.027800000000000002,0.235,0.009174000000000002,1,0.01062,0.004726000000000001,2924.997930193239,0.015273695860887455,-0,0.004726000000000001,9.784434309413182,8.015149959506516
Curruca communis,f,0.0148,0.211,0.004884,1,0.0091,0.0025160000000000004,2794.3770685075388,0.008131919041182517,-0,0.0025160000000000004,8.368001858163106,6.854868487377153
Curruca communis,m,0.0149,0.2268,0.004917,1,0.01007,0.002533,2945.96871412729,0.008186273905904725,-0,0.002533,8.08940928047783,6.626371533986847
Curruca curruca,f,0.011,0.2001,0.00363,1,0.00689,0.00187,2905.0868398616803,0.006043758511771935,-0,0.00187,7.783261638003754,6.375653196623644
Curruca curruca,m,0.011800000000000001,0.2036,0.0038940000000000008,1,0.00724,0.0020060000000000004,2917.5233306849022,0.006483191184312138,-0,0.0020060000000000004,7.8988610858916415,6.470317554424054
Turdus merula,f,0.098,0.3895,0.03234,1,0.03043,0.01666,3413.5426170804735,0.05384173341595242,-0,0.01666,11.569134730628937,9.477038819256467
Turdus merula,m,0.0987,0.3895,0.032571,1,0.03235,0.016779000000000002,3306.4307807323944,0.05422875187420729,-0,0.016779000000000002,11.596628720301485,9.499782630978284
Turdus pilaris,f,0.11259999999999999,0.4327,0.037158,1,0.03405,0.019142,3774.614972510114,0.06188076804325769,-0,0.019142,11.49675612972134,9.418404812270085
Turdus pilaris,m,0.11370000000000001,0.4474,0.037521000000000006,1,0.03679,0.019329000000000002,3841.7460031636115,0.062487137855057134,0,0.019329000000000002,11.343023677141426,9.292489851605335
Catharus fuscescens,NA,0.02529,0.29941,0.008345700000000001,1,0.014908,0.004299300000000001,3563.0854036284863,0.013897551326209092,-0,0.004299300000000001,8.39906606799335,6.880272028136213
Catharus minimus,NA,0.0050999999999999995,0.30536,0.0016829999999999998,1,0.005026,8.669999999999999e-4,3052.1187443052654,0.002803612864580981,0,8.669999999999999e-4,4.875838292541039,3.994474423322321
Catharus ustulatus,NA,0.027649999999999997,0.29713,0.009124499999999999,1,0.014177,0.0047005,3590.9426929784704,0.015196053745466313,0,0.0047005,8.685859294522087,7.115485830243368
Hylocichla mustelina,NA,0.04018,0.32735,0.013259400000000001,1,0.017956,0.006830600000000001,3668.797976447657,0.022073586628164665,-0,0.006830600000000001,9.373717338237952,7.6780208057950405
Aethia cristatella,NA,0.277,0.48,0.09141000000000002,2,0.0283,0.04709000000000001,4303.854101845687,0.15214031114904852,-0,0.04709000000000001,14.737611295494206,12.071308470109821
Aethia psittacula,NA,0.282,0.502,0.09305999999999999,2,0.0334,0.047939999999999997,4308.827597002607,0.15489664634691117,-0,0.047939999999999997,14.497293540733107,11.874667055775122
Aethia pusilla,NA,0.104,0.325,0.03432,2,0.0144,0.01768,3739.195748123445,0.05714741342825361,-0,0.01768,12.91872494514754,10.583148275689904
Alca torda,NA,0.62,0.661,0.2046,2,0.0462,0.10540000000000001,4918.804862154395,0.34067603954552306,-0,0.10540000000000001,16.430191004470664,13.45948949899298
Brachyramphus marmoratus,NA,0.226,0.443,0.07458000000000001,2,0.024,0.03842,4229.397121425616,0.12420601939249726,0,0.03842,14.334218322710418,11.74329999902927
Cepphus columba,NA,0.47,0.578,0.1551,2,0.0422,0.0799,4359.992339406819,0.25810778072498064,-0,0.0799,16.019960094822363,13.121271005674481
Cerorhinca monocerata,NA,0.56,0.615,0.18480000000000002,2,0.044,0.09520000000000002,4552.265501365083,0.3077142469048183,-0,0.09520000000000002,16.465080661766258,13.4884470088305
Fratercula arctica,NA,0.398,0.549,0.13134,2,0.0369,0.06766000000000001,4413.718816265372,0.21860421853017165,-0,0.06766000000000001,15.550900615400144,12.737651569116725
Fratercula cirrhata,NA,0.799,0.662,0.26367,2,0.0512,0.13583,4399.564328987349,0.43897925807336036,-0,0.13583,17.866976644685533,14.636683859150187
Fratercula corniculata,NA,0.663,0.607,0.21879,2,0.0434,0.11271000000000002,4271.928552024718,0.36405758591307696,-0,0.11271000000000002,17.53319769513674,14.360651139740805
Ptychoramphus aleuticus,NA,0.19,0.441,0.0627,2,0.0262,0.0323,4217.372753718079,0.10441626938808168,-0,0.0323,13.558940180420576,11.107838558438132
Synthliboramphus antiquus,NA,0.215,0.446,0.07095,2,0.0244,0.03655,4303.3977905268775,0.11815260738247661,-0,0.03655,14.05016778498299,11.510225795674112
Synthliboramphus craveri,NA,0.172,0.412,0.05676,2,0.0189,0.02924,4420.13908575489,0.09452450138766487,-0,0.02924,13.57003108653525,11.11683019083748
Synthliboramphus hypoleucus,NA,0.2,0.421,0.066,2,0.0207,0.034,4256.693091701258,0.10989085584053755,-0,0.034,14.116699471045896,11.564130566943543
Uria aalge,NA,1.05,0.73,0.34650000000000003,2,0.056,0.17850000000000002,4661.741903853405,0.5766022948196617,-0,0.17850000000000002,18.637425253683634,15.265310992796264
Uria lomvia,NA,1.033,0.727,0.34088999999999997,2,0.056,0.17561,4645.990055335141,0.5675335488742432,-0,0.17561,18.57445010288787,15.216111343505478
Creagrus furcatus,NA,0.69,1.368,0.22769999999999999,2,0.1878,0.1173,9044.934293988443,0.3791350262295418,-0,0.1173,11.83569694898304,9.694183516507069
Gygis alba,NA,0.095,0.725,0.03135,2,0.0522,0.01615,7537.3862097511355,0.05221068926422989,0,0.01615,8.392329611982658,6.87425881400823
Larosterna inca,NA,0.219,0.87,0.07227,2,0.0765,0.037230000000000006,7800.775804140495,0.12035864824827719,0,0.037230000000000006,10.121833743539296,8.290996070832692
Larus argentatus,NA,1.102,1.486,0.36366000000000004,2,0.2284,0.18734000000000003,8682.573983039052,0.6054943864225001,-0,0.18734000000000003,13.275132686039903,10.87320896777744
Larus californicus,NA,0.56,1.21,0.18480000000000002,2,0.1478,0.09520000000000002,8539.541813020069,0.30772752146297666,-0,0.09520000000000002,11.738395427855954,9.614786178262438
Larus glaucescens,NA,1.176,1.458,0.38808,2,0.2458,0.19992000000000001,8058.304010757913,0.6461914529232823,-0,0.19992000000000001,13.69565455681603,11.21800244092858
Larus glaucoides,NA,0.897,1.376,0.29601,2,0.1993,0.15249000000000001,8468.883830181978,0.4929468788038309,-0,0.15249000000000001,12.880353321320975,10.550495966227661
Larus heermanni,NA,0.469,1.135,0.15477,2,0.1308,0.07973,8384.864552531513,0.2576796694163524,-0,0.07973,11.42401923861976,9.356768703391465
Larus marinus,NA,1.56,1.69,0.5148,2,0.317,0.26520000000000005,8683.344824272503,0.857230641055966,-0,0.26520000000000005,13.977980000953291,11.449340773010135
Larus occidentalis,NA,1.037,1.436,0.34221,2,0.2235,0.17629,8403.62743826394,0.5697924381747967,-0,0.17629,13.233225368895992,10.838999410589036
Larus pipixcan,NA,0.255,1.015,0.08415,2,0.0945,0.04335000000000001,8748.085694566014,0.14013372039062813,-0,0.04335000000000001,9.858908649976284,8.075332756159272
Onychoprion fuscatus,NA,0.176,0.84,0.05808,2,0.0712,0.02992,7827.524292131085,0.09670471468529675,-0,0.02992,9.576780758323297,7.843901329130775
Rissa tridactyla,NA,0.368,1.038,0.12144,2,0.1015,0.06256,8386.522861372383,0.20220862984590526,-0,0.06256,11.017734031945752,9.024284648214671
Sterna forsteri,NA,0.141,0.782,0.046529999999999995,2,0.0589,0.023969999999999998,7757.371859880158,0.07747003931201242,-0,0.023969999999999998,9.218110526323683,7.549998298996826
Sterna paradisaea,NA,0.103,0.733,0.03399,2,0.0495,0.01751,7723.243841251654,0.056592489182740416,-0,0.01751,8.574522427892573,7.022876695242797
Phalaropus fulicarius,NA,0.039,0.424,0.012870000000000001,2,0.0228,0.0066300000000000005,5435.850506901811,0.02143145293268247,-0,0.0066300000000000005,8.15488482468906,6.679727050213554
Phalaropus lobatus,NA,0.037,0.352,0.01221,2,0.0195,0.0062900000000000005,4505.812262434057,0.020331996603430276,-0,0.0062900000000000005,8.794368446759545,7.203725719704003
Catharacta lonnbergi,NA,1.44,1.37,0.4752,2,0.2286,0.24480000000000002,7104.719940539123,0.7913829874788167,-0,0.24480000000000002,15.115910821204464,12.382385626986396
Stercorarius longicaudus,NA,0.275,0.956,0.09075000000000001,2,0.088,0.04675000000000001,8204.264178172774,0.15109265387909585,-0,0.04675000000000001,10.417637007289807,8.532470353506376
Catharacta maccormicki,NA,1.237,1.34,0.4082100000000001,2,0.207,0.21029000000000003,7418.81997338662,0.6795259356655128,-0,0.21029000000000003,14.528929257901575,11.899689753344727
Stercorarius parasiticus,NA,0.367,1.038,0.12111000000000001,2,0.1115,0.06239,8126.882463439935,0.20163741267908328,-0,0.06239,11.007740154844297,9.015800959912388
Stercorarius pomarinus,NA,0.654,1.176,0.21582,2,0.1533,0.11118000000000001,7822.096541366722,0.3593651647022068,-0,0.11118000000000001,12.539269360711492,10.270786817432638
Catharacta skua,NA,1.35,1.37,0.44550000000000006,2,0.214,0.22950000000000004,7432.761598498858,0.7416122829884154,-0,0.22950000000000004,14.79403840343269,12.116914809662111
Pelecanus occidentalis,NA,4.12,2.224,1.3596000000000001,2,0.492,0.7004,9009.19392100116,2.2637210864315764,-0,0.7004,16.84540836661812,13.797805894907444
Phaethon aethereus,NA,0.638,1.005,0.21054,2,0.1095,0.10846000000000001,6973.814189875938,0.35053684796382356,-0,0.10846000000000001,13.452573668742389,11.018755639886201
Phaethon rubricauda,NA,0.765,1.133,0.25245,2,0.1228,0.13005,7751.410616658961,0.420308714546466,-0,0.13005,13.460675267182706,11.025180757752064
Phoebastria immutabilis,NA,3.375,2.02,1.11375,2,0.3215,0.5737500000000001,9487.813851018978,1.8542443446818817,-0,0.5737500000000001,16.53805125191593,13.54559945246869
Phoebastria irrorata,NA,2.92,2.215,0.9636,2,0.3455,0.4964,11045.265378527301,1.6044057216697158,-0,0.4964,15.048701549014856,12.32574581476593
Phoebastria nigripes,NA,3.98,2.265,1.3134000000000001,2,0.3607,0.6766000000000001,10428.8323948827,2.1872993990465988,-0,0.6766000000000001,16.50089933622415,13.516374853627608
Phoebetria palpebrata,NA,2.84,2.18,0.9372,2,0.338,0.4828,10933.519078451001,1.560652820792332,-0,0.4828,15.029140107398382,12.310270282699545
Thalassarche chrysostoma,NA,3.79,2.18,1.2507000000000001,2,0.352,0.6443000000000001,10050.732415330178,2.0821707016043174,-0,0.6443000000000001,16.547357250886126,13.55295521123575
Thalassarche melanophris,NA,3.79,2.16,1.2507000000000001,2,0.356,0.6443000000000001,9867.349111352436,2.082834952800309,-0,0.6443000000000001,16.62378886892868,13.617042066677502
Hydrobates leucorhous,NA,0.041,0.469,0.01353,2,0.0286,0.0069700000000000005,5677.760315853084,0.02253278219674988,0,0.0069700000000000005,7.884201376187408,6.458170340471654
Hydrobates tethys,NA,0.024,0.394,0.00792,2,0.0202,0.00408,5240.519831741239,0.013187224460571691,-0,0.00408,7.195037333241748,5.893261765698896
Fregetta grallaria,NA,0.045,0.447,0.01485,2,0.0283,0.0076500000000000005,5340.611333606555,0.024730779060865113,-0,0.0076500000000000005,8.330543285175601,6.823835523151962
Nesofregetta fuliginosa,NA,0.07,0.515,0.023100000000000002,2,0.0409,0.011900000000000003,5415.814939587285,0.03846088835420911,-0,0.011900000000000003,8.993263024714478,7.366146222094325
Oceanites oceanicus,NA,0.038,0.393,0.01254,2,0.0219,0.0064600000000000005,5013.419635689609,0.02087843800463682,-0,0.0064600000000000005,8.397350250056183,6.878038044095011
Pelagodroma marina,NA,0.041,0.434,0.01353,2,0.0266,0.0069700000000000005,5289.731267566365,0.022530322826026725,-0,0.0069700000000000005,8.195949333702606,6.713367234504497
Aphrodroma brevirostris,NA,0.34,0.883,0.11220000000000001,2,0.0681,0.05780000000000001,7730.163199389543,0.18684979683007807,-0,0.05780000000000001,11.634522948558907,9.530071574107685
Ardenna bulleri,NA,0.397,0.997,0.13101000000000002,2,0.1036,0.06749000000000001,7760.343918973085,0.21812093041529634,-0,0.06749000000000001,11.5300122411408,9.443668848072393
Ardenna grisea,NA,0.799,1.026,0.26367,2,0.0893,0.13583,7365.573565558755,0.4390278787867282,-0,0.13583,14.351800344413828,11.755610516809915
Ardenna pacifica,NA,0.385,1.04,0.12705,2,0.1051,0.06545000000000001,8249.75415610271,0.2115637983036177,-0,0.06545000000000001,11.174168015872445,9.152643696208266
Ardenna tenuirostris,NA,0.502,0.93,0.16566,2,0.0763,0.08534000000000001,7439.838450215323,0.2758036613991697,-0,0.08534000000000001,12.90993123267422,10.574008153242822
Bulweria bulwerii,NA,0.09,0.65,0.0297,2,0.045,0.015300000000000001,6972.00016515067,0.04945307171195223,-0,0.015300000000000001,8.704902519516038,7.129898650236936
Daption capense,NA,0.444,0.873,0.14652,2,0.0785,0.07548,6862.4809972047005,0.2439993426703359,-0,0.07548,12.790155135841157,10.476883113014813
Fulmarus glacialis,NA,0.693,1.035,0.22869,2,0.1095,0.11781,7170.114772168403,0.3808578201563355,-0,0.11781,13.62683735512166,11.162467577314839
Fulmarus glacialoides,NA,0.776,1.062,0.25608000000000003,2,0.1169,0.13192,7103.093784611993,0.4263028814002463,-0,0.13192,13.969708346337427,11.441866220397662
Halobaena caerulea,NA,0.203,0.699,0.06699000000000001,2,0.0491,0.034510000000000006,6773.073529726693,0.11155488534451463,-0,0.034510000000000006,11.010120048063081,9.01855377400028
Pachyptila belcheri,NA,0.15,0.592,0.0495,2,0.0411,0.025500000000000002,5961.84548721721,0.08241359163293245,-0,0.025500000000000002,10.815492364770808,8.858682676129668
Pachyptila vittata,NA,0.168,0.621,0.05544,2,0.0467,0.028560000000000006,5983.601415755831,0.09230367310104175,-0,0.028560000000000006,10.966689788708056,8.982548118870145
Pagodroma nivea,NA,0.329,0.826,0.10857000000000001,2,0.0711,0.05593000000000001,6954.358344084378,0.18078191512583303,-0,0.05593000000000001,11.89804266254028,9.745665332643235
Pelecanoides georgicus,NA,0.114,0.381,0.03762,2,0.02,0.01938,4166.734255947784,0.06261524239971929,-0,0.01938,12.30257421564311,10.07655380269205
Pelecanoides urinatrix,NA,0.15,0.425,0.0495,2,0.0221,0.025500000000000002,4510.760138033775,0.082404337064236,-0,0.025500000000000002,12.764760872367706,10.455685344890568
Procellaria aequinoctialis,NA,1.37,1.4,0.45210000000000006,2,0.169,0.23290000000000002,8386.305573937496,0.7528176063390426,-0,0.23290000000000002,14.706624533419811,12.046279708195646
Pseudobulweria rostrata,NA,0.411,1.047,0.13563,2,0.0938,0.06987,8550.803948246781,0.2258409418008014,-0,0.06987,11.382132063242425,9.322828335789062
Pterodroma alba,NA,0.287,0.947,0.09471,2,0.0803,0.04879,8292.615126284,0.15768927332003657,-0,0.04879,10.617183820729464,8.695978890985337
Pterodroma brevipes,NA,0.121,0.713,0.03993,2,0.0524,0.02057,7276.144130862551,0.06648483136342531,-0,0.02057,9.173707096322909,7.513803567696113
Pterodroma cervicalis,NA,0.412,1.053,0.13596,2,0.0998,0.07004,8444.9944136537,0.22639527589161224,-0,0.07004,11.358860069583676,9.303841884062404
Pterodroma externa,NA,0.421,1.067,0.13893,2,0.1041,0.07157000000000001,8454.99736735627,0.231309931098371,-0,0.07157000000000001,11.36571031659521,9.309037376440223
Pterodroma heraldica,NA,0.266,0.934,0.08778000000000001,2,0.0778,0.04522,8307.78824785023,0.1461789737499696,-0,0.04522,10.423301525456699,8.53770892249299
Pterodroma hypoleuca,NA,0.172,0.766,0.05676,2,0.0551,0.02924,7562.487190171845,0.0945107519127376,-0,0.02924,9.952107666092816,8.15148451628493
Pterodroma inexpectata,NA,0.358,0.842,0.11814,2,0.0633,0.060860000000000004,7330.885555294527,0.19672621544643357,-0,0.060860000000000004,12.121173206505455,9.928544067121672
Pterodroma leucoptera,NA,0.16,0.748,0.05280000000000001,2,0.0559,0.027200000000000002,7360.142763138667,0.08792882713478599,-0,0.027200000000000002,9.831141089016612,8.052778479915702
Pterodroma longirostris,NA,0.143,0.718,0.047189999999999996,2,0.0529,0.02431,7198.534131886173,0.0785706308937353,-0,0.02431,9.66547184074281,7.916554154032981
Pterodroma neglecta,NA,0.369,1.01,0.12177,2,0.0968,0.06273000000000001,8195.75389696789,0.20278597965631853,-0,0.06273000000000001,11.179524183427992,9.1572562444928
Pterodroma nigripennis,NA,0.151,0.756,0.04983,2,0.0559,0.025670000000000002,7512.598489452845,0.0829633047859898,-0,0.025670000000000002,9.59198802048555,7.85623620093136
Pterodroma pycrofti,NA,0.112,0.693,0.03696,2,0.0495,0.01904,7196.498014384387,0.061551104992216506,-0,0.01904,9.068350690518654,7.4279714551539975
Pterodroma ultima,NA,0.374,0.962,0.12342,2,0.0867,0.06358,7923.515662110383,0.20549770783529483,-0,0.06358,11.506569284862563,9.424654101267096
Puffinus nativitatis,NA,0.335,0.831,0.11055000000000001,2,0.0694,0.05695000000000001,7057.80800087812,0.18403821930141961,-0,0.05695000000000001,11.933906881337847,9.774308396515467
Puffinus newelli,NA,0.378,0.8,0.12474,2,0.0623,0.06426000000000001,6755.849087043151,0.20773143215425244,-0,0.06426000000000001,12.662785063433994,10.372600906063338
Thalassoica antarctica,NA,0.733,1.035,0.24189,2,0.0963,0.12461000000000001,7419.525992537306,0.40279785958423286,-0,0.12461000000000001,13.884259245294441,11.37290883333723
Fregata minor,NA,1.23,1.98,0.40590000000000004,2,0.354,0.2091,11178.27454371111,0.675954180805713,-0,0.2091,11.929753581304713,9.771540952802074
Gulosus aristotelis,NA,1.81,1.04,0.5973,2,0.158,0.30770000000000003,4764.297693276085,0.9945750333893637,-0,0.30770000000000003,18.72405243222988,15.339332127786117
