birdlife_name,species,speed,sd,n_tracks,source,V_mp,V_mr,flight_type,soaring_birds
Polysticta stelleri,Polysticta stelleri,21.9,,1,Alerstam2007,,,,
Porzana porzana,Porzana porzana,13.9,,1,Alerstam2007,,,,
Pyrrhula pyrrhula,Pyrrhula pyrrhula,13.4,,1,Alerstam2007,,,,
Riparia riparia,Riparia riparia,14.3,,1,Alerstam2007,,,,
Rissa tridactyla,Rissa tridactyla,13.1,0.4,2,Alerstam2007,,,,
Somateria mollissima,Somateria mollissima,17.9,2.4,240,Alerstam2007,,,,
Somateria spectabilis,Somateria spectabilis,16,0.3,2,Alerstam2007,,,,
Stercorarius longicaudus,Stercorarius longicaudus,13.6,1.9,3,Alerstam2007,,,,
Stercorarius parasiticus,Stercorarius parasiticus,13.8,2.2,7,Alerstam2007,,,,
Stercorarius pomarinus,Stercorarius pomarinus,15.2,2.3,16,Alerstam2007,,,,
Hydroprogne caspia,Sterna caspia,12.1,,1,Alerstam2007,,,,
Sterna paradisaea,Sterna paradisaea,10.9,0.9,2,Alerstam2007,,,,
Sturnus vulgaris,Sturnus vulgaris,16.2,4.3,4,Alerstam2007,,,,
Tadorna tadorna,Tadorna tadorna,15.4,,1,Alerstam2007,,,,
Tringa glareola,Tringa glareola,9.6,1.7,3,Alerstam2007,,,,
Tringa nebularia,Tringa nebularia,12.3,3.3,5,Alerstam2007,,,,
Turdus iliacus,Turdus iliacus,13.8,1.8,6,Alerstam2007,,,,
Turdus philomelos,Turdus philomelos,11,2.1,6,Alerstam2007,,,,
Turdus pilaris,Turdus pilaris,13,2.9,15,Alerstam2007,,,,
Turdus viscivorus,Turdus viscivorus,11.9,3.3,3,Alerstam2007,,,,
Vanellus vanellus,Vanellus vanellus,12.8,1.3,14,Alerstam2007,,,,
Accipiter brevipes,Accipiter brevipes,10.8,2.3,18,Bruderer2001,7.3,12.3,,
Accipiter brevipes,Accipiter brevipes,13.3,2.3,44,Bruderer2001,,13.3,gliding,1
Accipiter brevipes,Accipiter brevipes,11.1,2.1,57,Bruderer2001,,7.3,flapping,1
Accipiter brevipes,Accipiter brevipes,11.4,2.4,91,Bruderer2001,,7.3,mixed,1
Accipiter gentilis,Accipiter gentilis,9.7,0,1,Bruderer2001,,9.1,mixed,1
Accipiter nisus,Accipiter nisus,9.8,1.3,47,Bruderer2001,7.4,12.9,,
Accipiter nisus,Accipiter nisus,10.9,1.3,65,Bruderer2001,,13,gliding,1
Accipiter nisus,Accipiter nisus,10,1.8,64,Bruderer2001,,7.4,flapping,1
Accipiter nisus,Accipiter nisus,11.5,2.2,25,Bruderer2001,,7.4,mixed,1
Acrocephalus arundinaceus,Acrocephalus arundinaceus,7.1,0,1,Bruderer2001,6.1,10.9,,
Acrocephalus palustris,Acrocephalus palustris,8.8,0.8,2,Bruderer2001,5.2,9.7,,
Acrocephalus scirpaceus,Acrocephalus scirpaceus,6.6,2.8,11,Bruderer2001,5.2,9.7,,
Actitis hypoleucos,Actitis hypoleucos,9.1,3.6,2,Bruderer2001,6.1,10.6,,
Aegypius monachus,Aegypius monachus,15.5,0,1,Bruderer2001,,14.2,mixed,1
Alauda arvensis,Alauda arvensis,12.7,2.5,20,Bruderer2001,5.7,10.5,,
Alectoris chukar,Alectoris chukar,14.2,0,1,Bruderer2001,12.2,22,,
Anas acuta,Anas acuta,13.3,0.9,2,Bruderer2001,11,17.7,,
Anas platyrhynchos,Anas platyrhynchos,21.4,2.4,7,Bruderer2001,11.9,19.1,,
Spatula querquedula,Anas querquedula,14.1,0,1,Bruderer2001,9.5,15.9,,
Anthus pratensis,Anthus pratensis,10.5,2.7,6,Bruderer2001,5.3,10,,
Anthus pratensis,Anthus pratensis,8.8,0.7,4,Bruderer2001,5.3,10,,
Anthus trivialis,Anthus trivialis,12,4.8,4,Bruderer2001,5.5,10.2,,
Anthus trivialis,Anthus trivialis,7,1.4,8,Bruderer2001,5.5,10.2,,
Apus apus,Apus apus,10.6,3,163,Bruderer2001,5.2,8.6,,
Apus apus,Apus apus,9.2,0.2,2,Bruderer2001,5.2,8.6,,
Tachymarptis melba,Apus melba,12.6,2.9,36,Bruderer2001,6.2,10.1,,
Apus pallidus,Apus pallidus,10.5,1.9,33,Bruderer2001,5.2,9.1,,
Aquila chrysaetos,Aquila chrysaetos,15.1,1.7,2,Bruderer2001,,10.5,gliding,1
Aquila chrysaetos,Aquila chrysaetos,13,6.2,7,Bruderer2001,,12.6,flapping,1
Aquila heliaca,Aquila heliaca,9.5,0.9,1,Bruderer2001,11.6,18.6,,
Aquila heliaca,Aquila heliaca,9.5,0.9,1,Bruderer2001,,11.6,mixed,1
