Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Melospiza lincolni,NA,NA,12519,Melospiza lincolnii,Melospiza lincolnii,PASSERIFORMES,Passerellidae,Lincoln's Sparrow,ヒメウタスズメ,1,17.8,NA,0.00725,Viscor 1987,?-?,?-?
Melospiza melodia,NA,NA,12517,Melospiza melodia,Melospiza melodia,PASSERIFORMES,Passerellidae,Song Sparrow,ウタスズメ,1,22,NA,0.00865,Viscor 1987,?-?,?-?
Passerella iliaca,NA,NA,12511,Passerella iliaca,Passerella iliaca,PASSERIFORMES,Passerellidae,Red Fox Sparrow,ゴマフスズメ,1,40.5,NA,0.0116,Viscor 1987,?-?,?-?
Pipilo erythrophthalmus,NA,NA,12602,Pipilo erythrophthalmus,Pipilo erythrophthalmus,PASSERIFORMES,Passerellidae,Eastern Towhee,ワキアカトウヒチョウ,1,41.7,NA,0.0145,Viscor 1987,?-?,?-?
Pooecetes gramineus,NA,NA,12568,Pooecetes gramineus,Pooecetes gramineus,PASSERIFORMES,Passerellidae,Vesper Sparrow,オジロヒメドリ,1,27,NA,0.0108,Viscor 1987,?-?,?-?
Spizella passerina,NA,NA,12560,Spizella passerina,Spizella passerina,PASSERIFORMES,Passerellidae,Chipping Sparrow,チャガシラヒメドリ,1,13.5,NA,0.0091,Viscor 1987,?-?,?-?
Spizella pusilla,NA,NA,12565,Spizella pusilla,Spizella pusilla,PASSERIFORMES,Passerellidae,Field Sparrow,ヒメドリ,1,12.1,NA,0.0062,Viscor 1987,?-?,?-?
Spizella arborea,NA,NA,12559,Spizella arborea,Spizelloides arborea,PASSERIFORMES,Passerellidae,American Tree Sparrow,ムナフヒメドリ,1,18,NA,0.009,Viscor 1987,?-?,?-?
Zonotrichia albicollis,NA,NA,12524,Zonotrichia albicollis,Zonotrichia albicollis,PASSERIFORMES,Passerellidae,White-throated Sparrow,ノドジロシトド,1,26.5,NA,0.0109,Viscor 1987,?-?,?-?
Passer domesticus,NA,NA,11753,Passer domesticus,Passer domesticus,PASSERIFORMES,Passeridae,House Sparrow,イエスズメ,4,30,0.252,0.0101,Viscor 1987,?-?,?-?
Passer montanus,NA,NA,11778,Passer montanus,Passer montanus,PASSERIFORMES,Passeridae,Eurasian Tree Sparrow,スズメ,3,15.2,0.218,0.0076,Viscor 1987,?-?,?-?
Petronia petronia,NA,NA,11787,Petronia petronia,Petronia petronia,PASSERIFORMES,Passeridae,Rock Sparrow,イワスズメ,1,25,0.284,0.01,Viscor 1987,?-?,?-?
Phylloscopus Bonelli,NA,NA,10937,Phylloscopus Bonelli,Phylloscopus bonelli,PASSERIFORMES,Phylloscopidae,Western Bonelli's Warbler,ボネリームシクイ,1,7.7,0.191,0.0063,Viscor 1987,?-?,?-?
Phylloscopus rufus,NA,NA,10929,Phylloscopus collybita,Phylloscopus collybita,PASSERIFORMES,Phylloscopidae,Common Chiffchaff,チフチャフ,1,5.3,0.174,0.00482,Viscor 1987,?-?,?-?
Prunella modularis,NA,NA,11910,Prunella modularis,Prunella modularis,PASSERIFORMES,Prunellidae,Dunnock,ヨーロッパカヤクグリ,6,18,0.22,0.00801,Viscor 1987,?-?,?-?
Regulus calendula,NA,NA,10158,Regulus calendula,Corthylio calendula,PASSERIFORMES,Regulidae,Ruby-crowned Kinglet,ルビーキクイタダキ,1,6.7,NA,0.00583,Viscor 1987,?-?,?-?
Regulus regulus,NA,NA,10159,Regulus regulus,Regulus regulus,PASSERIFORMES,Regulidae,Goldcrest,キクイタダキ,5,3.8,0.143,0.00322,Viscor 1987,?-?,?-?
Regulus satrapa,NA,NA,10163,Regulus satrapa,Regulus satrapa,PASSERIFORMES,Regulidae,Golden-crowned Kinglet,アメリカキクイタダキ,1,5.8,NA,0.0051,Viscor 1987,?-?,?-?
Sitta europaea,NA,NA,9616,Sitta europaea,Sitta europaea,PASSERIFORMES,Sittidae,Eurasian Nuthatch,ゴジュウカラ,3,21.1,0.274,0.01327,Viscor 1987,?-?,?-?
Sturnus vulgaris,NA,NA,9510,Sturnus vulgaris,Sturnus vulgaris,PASSERIFORMES,Sturnidae,Common Starling,ホシムクドリ,7,79.5,0.391,0.0192,Viscor 1987,?-?,?-?
Sylvia communis,NA,NA,11385,Sylvia communis,Curruca communis,PASSERIFORMES,Sylviidae,Common Whitethroat,ノドジロムシクイ,4,18.7,0.225,0.00871,Viscor 1987,?-?,?-?
Sylvia atricapilla,NA,NA,11383,Sylvia atricapilla,Sylvia atricapilla,PASSERIFORMES,Sylviidae,Eurasian Blackcap,ズグロムシクイ,5,16.3,0.238,0.00889,Viscor 1987,?-?,?-?
Sylvia jimplex,NA,NA,11384,Sylvia borin,Sylvia borin,PASSERIFORMES,Sylviidae,Garden Warbler,ニワムシクイ,1,15.8,0.236,0.00749,Viscor 1987,?-?,?-?
Trichodroma muraria,NA,NA,9649,Tichodroma muraria,Tichodroma muraria,PASSERIFORMES,Tichodromidae,Wallcreeper,カベバシリ,1,15,0.301,0.0174,Viscor 1987,?-?,?-?
Troglodytes aedon,NA,NA,9753,Troglodytes aedon,Troglodytes aedon,PASSERIFORMES,Troglodytidae,House Wren,イエミソサザイ,1,11,NA,0.00484,Viscor 1987,?-?,?-?
Troglodytes troglodytes,NA,NA,9750,Troglodytes troglodytes,Troglodytes troglodytes,PASSERIFORMES,Troglodytidae,Eurasian Wren,ミソサザイ,4,10.1,0.169,0.00414,Viscor 1987,?-?,?-?
Hylocichla fuscescens,NA,NA,8902,Catharus fuscescens,Catharus fuscescens,PASSERIFORMES,Turdidae,Veery,ビリーチャツグミ,1,32.3,NA,0.0147,Viscor 1987,?-?,?-?
Hylocichla guttata,NA,NA,8909,Catharus guttatus,Catharus guttatus,PASSERIFORMES,Turdidae,Hermit Thrush,チャイロコツグミ,1,29.5,NA,0.0116,Viscor 1987,?-?,?-?
Hylocichla minima,NA,NA,8903,Catharus minimus,Catharus minimus,PASSERIFORMES,Turdidae,Grey-cheeked Thrush,ハイイロチャツグミ,1,34,NA,0.015,Viscor 1987,?-?,?-?
Sialia sialis,NA,NA,8871,Sialia sialis,Sialia sialis,PASSERIFORMES,Turdidae,Eastern Bluebird,ルリツグミ,1,32.7,NA,0.0148,Viscor 1987,?-?,?-?
Turdus iliacus,NA,NA,8964,Turdus iliacus,Turdus iliacus,PASSERIFORMES,Turdidae,Redwing,ワキアカツグミ,4,56,0.371,0.018,Viscor 1987,?-?,?-?
Turdus merula,NA,NA,8941,Turdus merula,Turdus merula,PASSERIFORMES,Turdidae,Common Blackbird,ニシクロウタドリ,5,91.5,0.406,0.026,Viscor 1987,?-?,?-?
Turdus migratorius,NA,NA,9007,Turdus migratorius,Turdus migratorius,PASSERIFORMES,Turdidae,American Robin,コマツグミ,2,82,NA,0.0244,Viscor 1987,?-?,?-?
Turdus naumanni,NA,NA,8959,Turdus naumanni,Turdus naumanni,PASSERIFORMES,Turdidae,Naumann's Thrush,ハチジョウツグミ,1,76.2,0.377,0.0225,Viscor 1987,?-?,?-?
Turdus philomelos,NA,NA,8965,Turdus philomelos,Turdus philomelos,PASSERIFORMES,Turdidae,Song Thrush,ウタツグミ,6,70.3,0.367,0.0191,Viscor 1987,?-?,?-?
Turdus pilaris,NA,NA,8963,Turdus pilaris,Turdus pilaris,PASSERIFORMES,Turdidae,Fieldfare,ノハラツグミ,7,98,0.429,0.0225,Viscor 1987,?-?,?-?
Turdus torquatus,NA,NA,8939,Turdus torquatus,Turdus torquatus,PASSERIFORMES,Turdidae,Ring Ouzel,クビワツグミ,4,96.5,0.427,0.0222,Viscor 1987,?-?,?-?
Turdus viscivorus,NA,NA,8967,Turdus viscivorus,Turdus viscivorus,PASSERIFORMES,Turdidae,Mistle Thrush,ヤドリギツグミ,4,106,0.44,0.0307,Viscor 1987,?-?,?-?
Sayornis Phoebe,NA,NA,6052,Sayornis Phoebe,Sayornis phoebe,PASSERIFORMES,Tyrannidae,Eastern Phoebe,ツキヒメハエトリ,1,20,NA,0.01345,Viscor 1987,?-?,?-?
Vireo a. solitarius,NA,NA,7787,Vireo solitarius,Vireo solitarius,PASSERIFORMES,Vireonidae,Blue-headed Vireo,フタスジモズモドキ,1,16.8,NA,0.0088,Viscor 1987,?-?,?-?
Egretta alba,NA,NA,5230,Casmerodius albus,Ardea alba,PELECANIFORMES,Ardeidae,Great Egret,ダイサギ,2,1778,1.447,0.2827,Viscor 1987,?-?,?-?
Ardea cinerea,NA,NA,5209,Ardea cinerea,Ardea cinerea,PELECANIFORMES,Ardeidae,Grey Heron,アオサギ,6,1408,1.726,0.359,Viscor 1987,?-?,?-?
Ardea herodias,NA,NA,5213,Ardea herodias,Ardea herodias,PELECANIFORMES,Ardeidae,Great Blue Heron,オオアオサギ,2,1905,1.78,0.4436,Viscor 1987,?-?,?-?
Botaurus lentiginosus,NA,NA,5172,Botaurus lentiginosus,Botaurus lentiginosus,PELECANIFORMES,Ardeidae,American Bittern,アメリカサンカノゴイ,1,625,1.14,0.1258,Viscor 1987,?-?,?-?
Botaurus stellaris,NA,NA,5174,Botaurus stellaris,Botaurus stellaris,PELECANIFORMES,Ardeidae,Eurasian Bittern,サンカノゴイ,5,1198,1.329,0.2696,Viscor 1987,?-?,?-?
Butorides virescens,NA,NA,19921,Butorides virescens,Butorides virescens,PELECANIFORMES,Ardeidae,Green Heron,アメリカササゴイ,1,230,0.635,0.066,Viscor 1987,?-?,?-?
Egretta caerulea,NA,NA,5196,Egretta caerulea,Egretta caerulea,PELECANIFORMES,Ardeidae,Little Blue Heron,ヒメアカクロサギ,2,449,1.041,0.1246,Viscor 1987,?-?,?-?
Nycticorax nycticorax,NA,NA,5182,Nycticorax nycticorax,Nycticorax nycticorax,PELECANIFORMES,Ardeidae,Black-crowned Night Heron,ゴイサギ,4,804,1.12,0.1773,Viscor 1987,?-?,?-?
Platalea leucorodia,NA,NA,5318,Platalea leucorodia,Platalea leucorodia,PELECANIFORMES,Threskiornithidae,Eurasian Spoonbill,ヘラサギ,3,1565,1.37,0.2488,Viscor 1987,?-?,?-?
Colaptex auratus,NA,NA,1001,Colaptes auratus,Colaptes auratus,PICIFORMES,Picidae,Northern Flicker,ハシボソキツツキ,1,100,NA,0.0324,Viscor 1987,?-?,?-?
Dendrocopos major,NA,NA,950,Dendrocopos major,Dendrocopos major,PICIFORMES,Picidae,Great Spotted Woodpecker,アカゲラ,3,73,0.422,0.0238,Viscor 1987,?-?,?-?
Dendrocopos minor,NA,NA,937,Dendrocopos minor,Dryobates minor,PICIFORMES,Picidae,Lesser Spotted Woodpecker,コアカゲラ,2,15.5,0.269,0.0103,Viscor 1987,?-?,?-?
Dendrocopos pubescens,NA,NA,960,Picoides pubescens,Dryobates pubescens,PICIFORMES,Picidae,Downy Woodpecker,セジロコゲラ,1,24.8,NA,0.0136,Viscor 1987,?-?,?-?
Jynx torquilla,NA,NA,838,Jynx torquilla,Jynx torquilla,PICIFORMES,Picidae,Eurasian Wryneck,アリスイ,6,37.3,0.294,0.0116,Viscor 1987,?-?,?-?
Centurus carolinus,NA,NA,895,Melanerpes carolinus,Melanerpes carolinus,PICIFORMES,Picidae,Red-bellied Woodpecker,シマセゲラ,1,87,NA,0.0262,Viscor 1987,?-?,?-?
Melanerpes formicivora,NA,NA,882,Melanerpes formicivorus,Melanerpes formicivorus,PICIFORMES,Picidae,Acorn Woodpecker,ドングリキツツキ,1,74.5,NA,0.0306,Viscor 1987,?-?,?-?
Picus viridis,NA,NA,1048,Picus viridis,Picus viridis,PICIFORMES,Picidae,European Green Woodpecker,ヨーロッパアオゲラ,3,156,0.517,0.0457,Viscor 1987,?-?,?-?
Podiceps auritus,NA,NA,5013,Podiceps auritus,Podiceps auritus,PODICIPEDIFORMES,Podicipedidae,Horned Grebe,ミミカイツブリ,1,369.5,0.59,0.035,Viscor 1987,?-?,?-?
Podiceps cristatus,NA,NA,5012,Podiceps cristatus,Podiceps cristatus,PODICIPEDIFORMES,Podicipedidae,Great Crested Grebe,カンムリカイツブリ,4,790,0.786,0.0561,Viscor 1987,?-?,?-?
Podiceps griseigna,NA,NA,5010,Podiceps grisegena,Podiceps grisegena,PODICIPEDIFORMES,Podicipedidae,Red-necked Grebe,アカエリカイツブリ,1,480,0.72,0.0542,Viscor 1987,?-?,?-?
Podilymbus podiceps,NA,NA,5005,Podilymbus podiceps,Podilymbus podiceps,PODICIPEDIFORMES,Podicipedidae,Pied-billed Grebe,オビハシカイツブリ,1,343.5,0.6,0.0291,Viscor 1987,?-?,?-?
Tachybapsus ruficollis,NA,NA,5000,Tachybaptus ruficollis,Tachybaptus ruficollis,PODICIPEDIFORMES,Podicipedidae,Little Grebe,カイツブリ,1,180,0.44,0.0236,Viscor 1987,?-?,?-?
Diomedea exulans,NA,NA,5575,Diomedea exulans,Diomedea exulans,PROCELLARIIFORMES,Diomedeidae,Wandering Albatross,ワタリアホウドリ,6,8502,3.408,0.6206,Viscor 1987,?-?,?-?
Oceanodroma leucorhoa,NA,NA,5609,Oceanodroma leucorhoa,Hydrobates leucorhous,PROCELLARIIFORMES,Hydrobatidae,Leach's Storm Petrel,コシジロウミツバメ,5,26.5,0.48,0.0251,Viscor 1987,?-?,?-?
Hydrobates pelagicus,NA,NA,5605,Hydrobates pelagicus,Hydrobates pelagicus,PROCELLARIIFORMES,Hydrobatidae,European Storm Petrel,ヒメウミツバメ,3,17.4,0.332,0.01,Viscor 1987,?-?,?-?
Puffinus diomedea,NA,NA,5528,Calonectris diomedea,Calonectris diomedea,PROCELLARIIFORMES,Procellariidae,Scopoli's Shearwater,オニミズナギドリ,1,572,1.211,0.128,Viscor 1987,?-?,?-?
Fulmarus glacialis,NA,NA,5462,Fulmarus glacialis,Fulmarus glacialis,PROCELLARIIFORMES,Procellariidae,Northern Fulmar,フルマカモメ,6,724.5,1.09,0.102,Viscor 1987,?-?,?-?
Puffinus puffinus,NA,NA,5543,Puffinus puffinus,Puffinus puffinus,PROCELLARIIFORMES,Procellariidae,Manx Shearwater,マンクスミズナギドリ,4,342,0.811,0.0575,Viscor 1987,?-?,?-?
Aegolius acadicus,NA,NA,3075,Aegolius acadicus,Aegolius acadicus,STRIGIFORMES,Strigidae,Northern Saw-whet Owl,アメリカキンメフクロウ,1,108,0.43,0.042,Viscor 1987,?-?,?-?
Asio flammeus,NA,NA,3111,Asio flammeus,Asio flammeus,STRIGIFORMES,Strigidae,Short-eared Owl,コミミズク,4,390,1.075,0.1396,Viscor 1987,?-?,?-?
Asio otus,NA,NA,3106,Asio otus,Asio otus,STRIGIFORMES,Strigidae,Long-eared Owl,トラフズク,6,247,0.941,0.1082,Viscor 1987,?-?,?-?
Asio wilsonianus,NA,NA,3106,Asio otus,Asio otus,STRIGIFORMES,Strigidae,Long-eared Owl,トラフズク,1,259,0.99,0.119,Viscor 1987,?-?,?-?
Athene noctua,NA,NA,3069,Athene noctua,Athene noctua,STRIGIFORMES,Strigidae,Little Owl,コキンメフクロウ,3,161.5,0.589,0.0459,Viscor 1987,?-?,?-?
Bubo bubo,NA,NA,2962,Bubo bubo,Bubo bubo,STRIGIFORMES,Strigidae,Eurasian Eagle-Owl,ワシミミズク,3,1720,1.641,0.3715,Viscor 1987,?-?,?-?
Nycthea scandiaca,NA,NA,2982,Bubo scandiaca,Bubo scandiacus,STRIGIFORMES,Strigidae,Snowy Owl,シロフクロウ,1,1404,1.4,0.2576,Viscor 1987,?-?,?-?
Bubo virginianus,NA,NA,2961,Bubo virginianus,Bubo virginianus,STRIGIFORMES,Strigidae,Great Horned Owl,アメリカワシミミズク,2,1463,1.4,0.248,Viscor 1987,?-?,?-?
Otus asio,NA,NA,2938,Megascops asio,Megascops asio,STRIGIFORMES,Strigidae,Eastern Screech Owl,アメリカオオコノハズク,2,216,0.56,0.0499,Viscor 1987,?-?,?-?
Otus scops,NA,NA,2906,Otus scops,Otus scops,STRIGIFORMES,Strigidae,Eurasian Scops Owl,ヨーロッパコノハズク,3,49.8,0.523,0.0405,Viscor 1987,?-?,?-?
Strix aluco,NA,NA,2990,Strix aluco,Strix aluco,STRIGIFORMES,Strigidae,Tawny Owl,モリフクロウ,3,418,0.95,0.1304,Viscor 1987,?-?,?-?
Strix varia,NA,NA,2997,Strix varia,Strix varia,STRIGIFORMES,Strigidae,Barred Owl,アメリカフクロウ,1,510,1.118,0.183,Viscor 1987,?-?,?-?
Tyto alba,NA,NA,2878,Tyto alba,Tyto alba,STRIGIFORMES,Tytonidae,Western Barn Owl,メンフクロウ,5,279,0.973,0.1163,Viscor 1987,?-?,?-?
Fregata aquila,NA,NA,5398,Fregata aquila,Fregata aquila,SULIFORMES,Fregatidae,Ascension Frigatebird,メスグログンカンドリ,1,1620,2.019,0.324,Viscor 1987,?-?,?-?
Phalacrocorax carbo,NA,NA,5094,Phalacrocorax carbo,Phalacrocorax carbo,SULIFORMES,Phalacrocoracidae,Great Cormorant,カワウ,7,2115,1.71,0.1967,Viscor 1987,?-?,?-?
Sula bassana,NA,NA,5054,Morus bassanus,Morus bassanus,SULIFORMES,Sulidae,Northern Gannet,シロカツオドリ,2,2690,1.836,0.245,Viscor 1987,?-?,?-?
Rhynchotus rufescens,NA,NA,96,Rhynchotus rufescens,Rhynchotus rufescens,TINAMIFORMES,Tinamidae,Red-winged Tinamou,アカバネシギダチョウ,1,821.7,0.674,0.0657,Viscor 1987,?-?,?-?
Tetrao medius,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1193,0.87,0.0978,Viscor 1987,?-?,?-?
Phoenicopterus minor,F,NA,5277,Phoeniconaias minor,Phoeniconaias minor,PHOENICOPTERIFORMES,Phoenicopteridae,Lesser Flamingo,コフラミンゴ,1,1560,1.1665,0.16188,Mendelsohn 1988,A-II,B-II
Phoenicopterus minor,M,NA,5277,Phoeniconaias minor,Phoeniconaias minor,PHOENICOPTERIFORMES,Phoenicopteridae,Lesser Flamingo,コフラミンゴ,1,1690,1.392,0.1853,Mendelsohn 1988,A-II,B-II
Phoenicopterus minor,NA,NA,5277,Phoeniconaias minor,Phoeniconaias minor,PHOENICOPTERIFORMES,Phoenicopteridae,Lesser Flamingo,コフラミンゴ,2,1592.5,1.2229,0.168571,Mendelsohn 1988,A-II,B-II
Phoenicopterus ruber,F,NA,5271,Phoenicopterus ruber,Phoenicopterus ruber,PHOENICOPTERIFORMES,Phoenicopteridae,American Flamingo,オオフラミンゴ,1,2573.33,1.5043,0.2481,Mendelsohn 1988,A-II,B-II
Phoenicopterus ruber,M,NA,5271,Phoenicopterus ruber,Phoenicopterus ruber,PHOENICOPTERIFORMES,Phoenicopteridae,American Flamingo,オオフラミンゴ,1,2855,1.6917,0.2751,Mendelsohn 1988,A-II,B-II
Phoenicopterus ruber,NA,NA,5271,Phoenicopterus ruber,Phoenicopterus ruber,PHOENICOPTERIFORMES,Phoenicopteridae,American Flamingo,オオフラミンゴ,3,2734.29,1.6111,0.2661,Mendelsohn 1988,A-II,B-II
Accipiter badius,NA,NA,4717,Accipiter badius,Accipiter badius,ACCIPITRIFORMES,Accipitridae,Shikra,タカサゴダカ,1,127.4,0.5784,0.05126,Mendelsohn 1989,A-II,B-II
Accipiter melanoleucos,NA,NA,4765,Accipiter melanoleucus,Accipiter melanoleucus,ACCIPITRIFORMES,Accipitridae,Black Sparrowhawk,オオハイタカ,1,746,1.017,0.15426,Mendelsohn 1989,A-II,B-II
Accipiter minullus,NA,NA,4743,Accipiter minullus,Accipiter minullus,ACCIPITRIFORMES,Accipitridae,Little Sparrowhawk,アフリカツミ,1,68,0.3854,0.035005,Mendelsohn 1989,A-II,B-II
Accipiter ovampensis,NA,NA,4752,Accipiter ovampensis,Accipiter ovampensis,ACCIPITRIFORMES,Accipitridae,Ovambo Sparrowhawk,サバンナハイタカ,1,175,0.6674,0.06549,Mendelsohn 1989,A-II,B-II
Accipiter rufiventris,NA,NA,4754,Accipiter rufiventris,Accipiter rufiventris,ACCIPITRIFORMES,Accipitridae,Rufous-breasted Sparrowhawk,ムネアカハイタカ,1,180,0.7203,0.07484,Mendelsohn 1989,A-II,B-II
Accipiter tachiro,NA,NA,4713,Accipiter tachiro,Accipiter tachiro,ACCIPITRIFORMES,Accipitridae,African Goshawk,アフリカオオタカ,1,326.5,0.6984,0.10168,Mendelsohn 1989,A-II,B-II
Aquila nipalensis,NA,NA,4858,Aquila nipalensis,Aquila nipalensis,ACCIPITRIFORMES,Accipitridae,Steppe Eagle,ソウゲンワシ,3,3025,2.1,0.41679,Mendelsohn 1989,A-II,B-II
Aquila rapax,NA,NA,4855,Aquila rapax,Aquila rapax,ACCIPITRIFORMES,Accipitridae,Tawny Eagle,アフリカソウゲンワシ,2,2499,1.8232,0.39561,Mendelsohn 1989,A-II,B-II
Hieraaetus spilogaster,NA,NA,4870,Hieraaetus spilogaster,Aquila spilogaster,ACCIPITRIFORMES,Accipitridae,African Hawk-Eagle,モモジロクマタカ,1,1479.9,1.4167,0.27518,Mendelsohn 1989,A-II,B-II
Aquila verreauxii,NA,NA,4867,Aquila verreauxii,Aquila verreauxii,ACCIPITRIFORMES,Accipitridae,Verreaux's Eagle,コシジロイヌワシ,1,3315.7,1.9942,0.51386,Mendelsohn 1989,A-II,B-II
Aviceda cuculoides,NA,NA,4578,Aviceda cuculoides,Aviceda cuculoides,ACCIPITRIFORMES,Accipitridae,African Cuckoo-Hawk,アフリカカッコウハヤブサ,1,220,0.9065,0.12953,Mendelsohn 1989,A-II,B-II
Buteo augur,NA,NA,4843,Buteo augur,Buteo augur,ACCIPITRIFORMES,Accipitridae,Augur Buzzard,ヨゲンノスリ,1,973.2,1.3155,0.24175,Mendelsohn 1989,A-II,B-II
Buteo buteo,NA,NA,4826,Buteo buteo,Buteo buteo,ACCIPITRIFORMES,Accipitridae,Common Buzzard,ヨーロッパノスリ,7,731,1.1884,0.18725,Mendelsohn 1989,A-II,B-II
Buteo rufofuscus,NA,NA,4845,Buteo rufofuscus,Buteo rufofuscus,ACCIPITRIFORMES,Accipitridae,Jackal Buzzard,アカクロノスリ,1,1059.4,1.319,0.27596,Mendelsohn 1989,A-II,B-II
Buteo trizonatus,NA,NA,4834,Buteo oreophilus,Buteo trizonatus,ACCIPITRIFORMES,Accipitridae,Forest Buzzard,モリノスリ,1,602.7,NA,0.16278,Mendelsohn 1989,NA,B-II
Circaetus cinerascens,NA,NA,4666,Circaetus cinerascens,Circaetus cinerascens,ACCIPITRIFORMES,Accipitridae,Western Banded Snake Eagle,オビチュウヒワシ,1,1126,1.135,0.26782,Mendelsohn 1989,A-II,B-II
Circaetus cinereus,NA,NA,4664,Circaetus cinereus,Circaetus cinereus,ACCIPITRIFORMES,Accipitridae,Brown Snake Eagle,チャイロチュウヒワシ,1,2050,1.6407,0.40544,Mendelsohn 1989,A-II,B-II
Circaetus fasciolatus,NA,NA,4665,Circaetus fasciolatus,Circaetus fasciolatus,ACCIPITRIFORMES,Accipitridae,Southern Banded Snake Eagle,ミナミオビチュウヒワシ,1,1030,NA,0.23361,Mendelsohn 1989,NA,B-II
Circaetus pectoralis,NA,NA,4663,Circaetus pectoralis,Circaetus pectoralis,ACCIPITRIFORMES,Accipitridae,Black-chested Snake Eagle,ムナグロチュウヒワシ,1,1457.7,1.7761,0.36864,Mendelsohn 1989,A-II,B-II
Circus pygargus,NA,NA,4702,Circus pygargus,Circus pygargus,ACCIPITRIFORMES,Accipitridae,Montagu's Harrier,ヒメハイイロチュウヒ,6,325,1.1,0.15556,Mendelsohn 1989,A-II,B-II
Circus ranivorus,NA,NA,4688,Circus ranivorus,Circus ranivorus,ACCIPITRIFORMES,Accipitridae,African Marsh Harrier,アフリカチュウヒ,1,470,NA,0.16901,Mendelsohn 1989,NA,B-II
Aquila pomarina,NA,NA,4852,Aquila pomarina,Clanga pomarina,ACCIPITRIFORMES,Accipitridae,Lesser Spotted Eagle,アシナガワシ,3,1408,1.501,0.30919,Mendelsohn 1989,A-II,B-II
Elanus caeruleus,F,NA,4606,Elanus caeruleus,Elanus caeruleus,ACCIPITRIFORMES,Accipitridae,Black-winged Kite,カタグロトビ,1,257.6,NA,0.093079,Mendelsohn 1989,NA,B-II
Elanus caeruleus,M,NA,4606,Elanus caeruleus,Elanus caeruleus,ACCIPITRIFORMES,Accipitridae,Black-winged Kite,カタグロトビ,1,234.83,NA,0.088083,Mendelsohn 1989,NA,B-II
Elanus caeruleus,NA,NA,4606,Elanus caeruleus,Elanus caeruleus,ACCIPITRIFORMES,Accipitridae,Black-winged Kite,カタグロトビ,1,243.5,0.8444,0.08906,Mendelsohn 1989,A-II,B-II
Elanus caeruleus,NA,A,4606,Elanus caeruleus,Elanus caeruleus,ACCIPITRIFORMES,Accipitridae,Black-winged Kite,カタグロトビ,1,246.49,NA,0.089778,Mendelsohn 1989,NA,B-II
Elanus caeruleus,NA,J,4606,Elanus caeruleus,Elanus caeruleus,ACCIPITRIFORMES,Accipitridae,Black-winged Kite,カタグロトビ,1,230.43,NA,0.088598,Mendelsohn 1989,NA,B-II
Gypaetus barbatus,NA,NA,4642,Gypaetus barbatus,Gypaetus barbatus,ACCIPITRIFORMES,Accipitridae,Bearded Vulture,ヒゲワシ,2,5396.9,2.5768,0.73709,Mendelsohn 1989,A-II,B-II
Gypaetus barbatus,NA,A,4642,Gypaetus barbatus,Gypaetus barbatus,ACCIPITRIFORMES,Accipitridae,Bearded Vulture,ヒゲワシ,1,5710,NA,0.712276,Mendelsohn 1989,NA,B-II
Gypaetus barbatus,NA,J,4642,Gypaetus barbatus,Gypaetus barbatus,ACCIPITRIFORMES,Accipitridae,Bearded Vulture,ヒゲワシ,1,5016.67,NA,0.767087,Mendelsohn 1989,NA,B-II
Gyps africanus,NA,NA,4645,Gyps africanus,Gyps africanus,ACCIPITRIFORMES,Accipitridae,White-backed Vulture,コシジロハゲワシ,2,5800,NA,0.7529,Mendelsohn 1989,NA,B-II
Gyps coprotheres,NA,NA,4654,Gyps coprotheres,Gyps coprotheres,ACCIPITRIFORMES,Accipitridae,Cape Vulture,ケープシロエリハゲワシ,1,9288.9,2.5733,0.85413,Mendelsohn 1989,A-II,B-II
Haliaeetus vocifer,NA,NA,4633,Haliaeetus vocifer,Haliaeetus vocifer,ACCIPITRIFORMES,Accipitridae,African Fish Eagle,サンショクウミワシ,2,2683.3,1.9,0.54568,Mendelsohn 1989,A-II,B-II
Hieraaetus ayresii,NA,NA,4873,Hieraaetus ayresii,Hieraaetus ayresii,ACCIPITRIFORMES,Accipitridae,Ayres's Hawk-Eagle,シロハラクマタカ,1,988.3,1.23655,0.22779,Mendelsohn 1989,A-II,B-II
Hieraaetus pennatus,NA,NA,4871,Hieraaetus pennatus,Hieraaetus pennatus,ACCIPITRIFORMES,Accipitridae,Booted Eagle,ヒメクマタカ,4,696,1.2232,0.18181,Mendelsohn 1989,A-II,B-II
Aquila wahlbergi,NA,NA,4868,Aquila wahlbergi,Hieraaetus wahlbergi,ACCIPITRIFORMES,Accipitridae,Wahlberg's Eagle,ヒメイヌワシ,1,1209.4,1.4073,0.26557,Mendelsohn 1989,A-II,B-II
Kaupifalco monogrammicus,NA,NA,4705,Kaupifalco monogrammicus,Kaupifalco monogrammicus,ACCIPITRIFORMES,Accipitridae,Lizard Buzzard,トカゲノスリ,1,303.1,0.785,0.07488,Mendelsohn 1989,A-II,B-II
Lophaetus occipitalis,NA,NA,4878,Lophaetus occipitalis,Lophaetus occipitalis,ACCIPITRIFORMES,Accipitridae,Long-crested Eagle,エボシクマタカ,1,980,NA,0.27053,Mendelsohn 1989,NA,B-II
