scientific_name,family,order,type,max_speed,wingspan,wingarea,mass,speed
Hydrobates leucorhous,Hydrobatidae,Procellariiformes,seabird,14.2974811620942,0.469666666666667,0.0288,0.0385216666666667,15
Hydrobates pelagicus,Hydrobatidae,Procellariiformes,seabird,15.8828477147661,0.3475,0.0157,0.02605,16
Hydrobates tethys,Hydrobatidae,Procellariiformes,seabird,13.8387061490275,0.394,0.0202,0.0233,14
Hydrocoloeus minutus,Laridae,Charadriiformes,seabird,15.0874554685765,0.65,0.08,0.119,16
Hydroprogne caspia,Laridae,Charadriiformes,seabird,18.7271987074657,1.28,0.1289,0.6585,19
Hylocichla mustelina,Turdidae,Passeriformes,passerine,16.2154679180603,0.327,0.018,0.048045,17
Hypsipetes amaurotis,Pycnonotidae,Passeriformes,passerine,16.6126902558306,0.332,0.02864,0.068945,17
Iduna pallida,Acrocephalidae,Passeriformes,passerine,13.760557381307,0.2,0.0083,0.0105,14
Ixobrychus minutus,Ardeidae,Pelecaniformes,other,18.3598755012996,0.4973,0.041733,0.108745,19
Junco hyemalis,Passerellidae,Passeriformes,passerine,14.7611528607949,0.25,0.011,0.01975,15
Jynx torquilla,Picidae,Piciformes,other,18.5718660052553,0.28432,0.0148012,0.03405,19
Kaupifalco monogrammicus,Accipitridae,Accipitriformes,other,19.1733369339618,0.785,0.07488,0.29102,20
Lagopus muta,Phasianidae,Galliformes,other,25.3667995960674,0.63,0.0546,0.56265,26
Lanius bucephalus,Laniidae,Passeriformes,passerine,16.8165617952437,0.269,0.014334,0.04111,17
Lanius collurio,Laniidae,Passeriformes,passerine,15.4214448974594,0.27153571425,0.014071,0.0289575,16
Lanius minor,Laniidae,Passeriformes,passerine,15.6258719013819,0.34,0.0206016665,0.046495,16
Larosterna inca,Laridae,Charadriiformes,seabird,16.7860097374482,0.87,0.0765,0.219,17
Larus argentatus,Laridae,Charadriiformes,seabird,18.8974208945068,1.3815,0.206325,1.002245,19
Larus atricilla,Laridae,Charadriiformes,seabird,16.4929881969248,1.05,0.108,0.316205,17
Larus cachinnans,Laridae,Charadriiformes,seabird,18.3595442115233,1.43,0.2496,1.055945,19
Larus californicus,Laridae,Charadriiformes,seabird,18.3115493641576,1.21,0.1478,0.621695,19
Larus canus,Laridae,Charadriiformes,seabird,16.7465868453291,1.0975,0.1281,0.387015,17
Larus crassirostris,Laridae,Charadriiformes,seabird,21.485332994904,0.945,0.078084,0.5495,22
Larus fuscus,Laridae,Charadriiformes,seabird,18.0592761891914,1.34,0.190725,0.782305,19
Larus glaucescens,Laridae,Charadriiformes,seabird,18.5905053389444,1.458,0.2458,1.11627,19
Larus glaucoides,Laridae,Charadriiformes,seabird,17.7795071313603,1.376,0.1993,0.795155,18
Larus heermanni,Laridae,Charadriiformes,seabird,17.762611122047,1.135,0.1308,0.484495,18
Larus marinus,Laridae,Charadriiformes,seabird,19.0720619686265,1.67333333333333,0.298366666666667,1.63968833333333,20
Larus michahellis,Laridae,Charadriiformes,seabird,19.4667397511442,1.327,0.236625,1.132945,20
Larus occidentalis,Laridae,Charadriiformes,seabird,18.2992166395837,1.436,0.2235,0.97989,19
Larus pipixcan,Laridae,Charadriiformes,seabird,16.208805481373,1.015,0.0945,0.2675,17
Larus ridibundus,Laridae,Charadriiformes,seabird,17.1886715944797,0.925138888833333,0.0953802778333333,0.286083333333333,18
Larus schistisagus,Laridae,Charadriiformes,seabird,19.971239341198,1.394,0.23968,1.329,20
Leptoptilos crumenifer,Ciconiidae,Ciconiiformes,other,17.8328331630292,2.63,0.935,6.573935,18
Leucocarbo atriceps,Phalacrocoracidae,Suliformes,seabird,24.6743859861684,1.13,0.183,2.115,25
Limnodromus griseus,Scolopacidae,Charadriiformes,other,20.0512988923013,0.48,0.0277,0.111765,21
Limosa lapponica,Scolopacidae,Charadriiformes,other,20.913853360142,0.726666666666667,0.053,0.294658333333333,21
Linaria cannabina,Fringillidae,Passeriformes,passerine,14.8821920085893,0.239375,0.01016375,0.0187775,15
Linaria flavirostris,Fringillidae,Passeriformes,passerine,14.5407820718736,0.23,0.00979,0.01615,15
Locustella luscinioides,Locustellidae,Passeriformes,passerine,15.1290057911736,0.194095238,0.0073796035,0.013895,16
Locustella naevia,Locustellidae,Passeriformes,passerine,15.0950702176179,0.19,0.007,0.01315,16
Loxia curvirostra,Fringillidae,Passeriformes,passerine,17.0725310651476,0.2625,0.012285,0.039445,18
Lullula arborea,Alaudidae,Passeriformes,passerine,14.5572150236538,0.29,0.0164,0.02695,15
Luscinia luscinia,Muscicapidae,Passeriformes,passerine,15.0984880265206,0.2565,0.012641667,0.0238,16
Luscinia megarhynchos,Muscicapidae,Passeriformes,passerine,14.6371872494276,0.2503174605,0.01167821425,0.01975,15
Luscinia svecica,Muscicapidae,Passeriformes,passerine,14.7098688093365,0.2195,0.010445,0.016715,15
Lyrurus tetrix,Phasianidae,Galliformes,other,25.4542408352309,0.859285714,0.103,1.2029014285,26
Macronectes giganteus,Procellariidae,Procellariiformes,seabird,22.0469623711888,1.98,0.326,4.390845,23
Macronectes halli,Procellariidae,Procellariiformes,seabird,22.4060262894538,1.97,0.3078,4.4644,23
Mareca penelope,Anatidae,Anseriformes,other,24.0860804815956,0.821333333333333,0.0824,0.759348333333333,25
Mareca strepera,Anatidae,Anseriformes,other,23.2990473945235,0.9,0.1,0.82779,24
Megaceryle alcyon,Alcedinidae,Coraciiformes,other,19.2904874355605,0.54,0.0457,0.148,20
Megascops asio,Strigidae,Strigiformes,other,20.5032122432089,0.523,0.0475,0.180495,21
Melanitta fusca,Anatidae,Anseriformes,other,26.6839651444422,0.97,0.101,1.771585,27
Melanitta nigra,Anatidae,Anseriformes,other,26.0329878091723,0.85,0.0679,1.01999,27
Melierax canorus,Accipitridae,Accipitriformes,other,19.0171853475009,1.1083,0.17236,0.69376,20
Melierax metabates,Accipitridae,Accipitriformes,other,19.821367332393,1.0119,0.14877,0.654965,20
Mergus merganser,Anatidae,Anseriformes,other,26.9106467374995,0.945,0.07235,1.46751,27
Mergus serrator,Anatidae,Anseriformes,other,25.5642987095925,0.865,0.07225,0.985585,26
Merops apiaster,Meropidae,Coraciiformes,other,16.8458070203135,0.450357143,0.0269214285,0.056825,17
Micronisus gabar,Accipitridae,Accipitriformes,other,18.1705749126187,0.62405,0.059705,0.166025,19
Milvus aegyptius,Accipitridae,Accipitriformes,other,17.218661538133,1.2947,0.21396,0.69505,18
Milvus migrans,Accipitridae,Accipitriformes,other,15.3970013613004,1.5291333334,0.3449933334,0.77232,16
Milvus milvus,Accipitridae,Accipitriformes,other,16.5650553944117,1.58,0.3144,1.001635,17
Mimus polyglottos,Mimidae,Passeriformes,passerine,14.9848268810562,0.356,0.0269,0.0485,15
Mniotilta varia,Parulidae,Passeriformes,passerine,13.6047211601482,0.213,0.0088,0.01095,14
Morus bassanus,Sulidae,Suliformes,seabird,21.7221581210576,1.85,0.262,2.95653666666667,22
Morus serrator,Sulidae,Suliformes,seabird,20.630358398875,1.85,0.262,2.35,21
Motacilla alba,Motacillidae,Passeriformes,passerine,14.7360249460465,0.26806875,0.012724125,0.02274,15
Motacilla cinerea,Motacillidae,Passeriformes,passerine,14.1616889960301,0.26340625,0.011433125,0.0181625,15
Motacilla flava,Motacillidae,Passeriformes,passerine,14.2610840224104,0.25375,0.011075,0.017615,15
Motacilla grandis,Motacillidae,Passeriformes,passerine,14.1714099984365,0.33,0.0153,0.02708,15
Muscicapa striata,Muscicapidae,Passeriformes,passerine,13.7199867659312,0.248571428333333,0.0122019046666667,0.01575,14
Mycteria americana,Ciconiidae,Ciconiiformes,other,19.4352290614485,1.78,0.439,2.497235,20
Nannopterum auritum,Phalacrocoracidae,Suliformes,seabird,23.6917054267852,1.19,0.182,1.828245,24
Necrosyrtes monachus,Accipitridae,Accipitriformes,other,18.6406180636698,1.71,0.436,2.0215,19
Neochen jubata,Anatidae,Anseriformes,other,21.6336101826736,1.25,0.228,1.565,22
Neophron percnopterus,Accipitridae,Accipitriformes,other,19.6192639967424,1.65,0.353666666666667,2.00533333333333,20
Nesofregetta fuliginosa,Oceanitidae,Procellariiformes,seabird,15.8281898932146,0.515,0.0409,0.07,16
Netta rufina,Anatidae,Anseriformes,other,25.5632043554333,0.8265,0.09678,1.118,26
Ninox japonica,Strigidae,Strigiformes,other,19.2282062599785,0.6514,0.062886,0.2159125,20
Nucifraga caryocatactes,Corvidae,Passeriformes,passerine,16.1284320600082,0.615,0.0687,0.182505,17
Numenius arquata,Scolopacidae,Charadriiformes,other,22.1915436207419,0.984375,0.112075,0.8054325,23
Numenius phaeopus,Scolopacidae,Charadriiformes,other,18.4454499708916,0.945,0.10475,0.371285,19
Nycticorax nycticorax,Ardeidae,Pelecaniformes,other,20.6146741645095,1.04666666666667,0.1475,0.774833333333334,21
Oceanites oceanicus,Oceanitidae,Procellariiformes,seabird,15.5544740252386,0.3945,0.02175,0.034205,16
Oenanthe oenanthe,Muscicapidae,Passeriformes,passerine,14.4578885776827,0.291666666666667,0.0149858333333333,0.0251166666666667,15
Oenanthe pleschanka,Muscicapidae,Passeriformes,passerine,13.8331692012068,0.26975,0.0144775,0.01938,14
Onychoprion anaethetus,Laridae,Charadriiformes,seabird,14.1390204256359,0.81,0.0618,0.10971,15
Onychoprion fuscatus,Laridae,Charadriiformes,seabird,16.1689215793838,0.869333333333333,0.0711666666666667,0.188193333333333,17
Oriolus oriolus,Oriolidae,Passeriformes,passerine,17.1297735851435,0.367,0.025305,0.079,18
Otis tarda,Otididae,Otidiformes,other,20.101288542139,2.0775,0.57805,6.56746,21
Otus scops,Strigidae,Strigiformes,other,17.2738280309149,0.49375,0.044955,0.092,18
Otus semitorques,Strigidae,Strigiformes,other,17.9915322913437,0.5644,0.062528,0.151365,18
Otus senegalensis,Strigidae,Strigiformes,other,17.2747086978828,0.4678,0.03368,0.07355,18
Pachyptila belcheri,Procellariidae,Procellariiformes,seabird,19.0499505220822,0.592,0.0411,0.1475,20
Pachyptila desolata,Procellariidae,Procellariiformes,seabird,18.4613753354542,0.633666666666667,0.0454,0.151666666666667,19
Pachyptila salvini,Procellariidae,Procellariiformes,seabird,19.0872230319434,0.63,0.0404,0.1575,20
Pachyptila turtur,Procellariidae,Procellariiformes,seabird,19.5222157952334,0.56,0.0336,0.1345,20
Pachyptila vittata,Procellariidae,Procellariiformes,seabird,19.5297996875569,0.621,0.0467,0.182,20
Pagodroma nivea,Procellariidae,Procellariiformes,seabird,19.135928272858,0.826,0.0711,0.2985,20
Pandion haliaetus,Pandionidae,Accipitriformes,other,18.5249201332922,1.662,0.33626,1.5994,19
Panurus biarmicus,Panuridae,Passeriformes,passerine,15.5193764612275,0.1757857145,0.0069392855,0.013835,16
Parabuteo unicinctus,Accipitridae,Accipitriformes,other,19.3964823346274,1.07,0.191,0.76514,20
Parkesia motacilla,Parulidae,Passeriformes,passerine,14.568152324702,0.265,0.0126,0.02145,15
Parus major,Paridae,Passeriformes,passerine,14.6242008040676,0.2222083335,0.01105625,0.017075,15
Passer domesticus,Passeridae,Passeriformes,passerine,16.2373517872485,0.2314,0.011088,0.027295,17
Passer hispaniolensis,Passeridae,Passeriformes,passerine,15.6138639200923,0.2405,0.011345,0.0242,16
Passer montanus,Passeridae,Passeriformes,passerine,15.8746707617315,0.206283333333333,0.0103391666666667,0.0214616666666667,16
Pastor roseus,Sturnidae,Passeriformes,passerine,17.0535009945583,0.3620714285,0.0231307145,0.07311,18
Patagioenas leucocephala,Columbidae,Columbiformes,other,21.0843538169678,0.593,0.0611,0.26507,22
Pavo cristatus,Phasianidae,Galliformes,other,23.4601805708872,1.28,0.348,3.627405,24
Pelagodroma marina,Oceanitidae,Procellariiformes,seabird,15.7272522188525,0.434,0.0266,0.0441,16
Pelecanoides georgicus,Procellariidae,Procellariiformes,seabird,22.7427228204209,0.3845,0.01985,0.1195,23
Pelecanoides urinatrix,Procellariidae,Procellariiformes,seabird,23.3556866276004,0.404333333333333,0.0205333333333333,0.14303,24
Pelecanus erythrorhynchos,Pelecanidae,Pelecaniformes,seabird,18.9298111189702,2.47,0.68,5.34924,19
Pelecanus occidentalis,Pelecanidae,Pelecaniformes,seabird,19.2637211232964,2.232,0.4795,3.59142,20
Pelecanus onocrotalus,Pelecanidae,Pelecaniformes,seabird,16.9061275524661,2.885,0.9447,8.612155,17
Pelecanus rufescens,Pelecanidae,Pelecaniformes,seabird,19.6538416364412,2.22,0.645,5.109815,20
Perdix perdix,Phasianidae,Galliformes,other,25.4527967837315,0.499375,0.0440895835,0.40018125,26
Periparus ater,Paridae,Passeriformes,passerine,13.9404392307659,0.181422619,0.00714601175,0.00915,14
Pernis apivorus,Accipitridae,Accipitriformes,other,17.4047457601194,1.26333333333333,0.2514,0.773518333333333,18
Pernis ptilorhynchus,Accipitridae,Accipitriformes,other,18.130299450586,1.38,0.3025,1.10244,19
Phaethon aethereus,Phaethontidae,Phaethontiformes,seabird,21.0334723512001,1.0425,0.10975,0.696995,22
Phaethon lepturus,Phaethontidae,Phaethontiformes,seabird,18.7680766116671,0.918,0.0847,0.34902,19
Phaethon rubricauda,Phaethontidae,Phaethontiformes,seabird,20.2692665126747,1.1215,0.1164,0.689685,21
Phalacrocorax capillatus,Phalacrocoracidae,Suliformes,seabird,24.7724654668445,1.184,0.22376,2.72589,25
Phalacrocorax carbo,Phalacrocoracidae,Suliformes,seabird,23.5744356860913,1.32733333333333,0.227779166666667,2.420485,24
Phalaropus fulicarius,Scolopacidae,Charadriiformes,other,17.3379322379268,0.422,0.0212,0.051045,18
Phalaropus lobatus,Scolopacidae,Charadriiformes,other,17.6050650960841,0.344,0.0162333333333333,0.03634,18
Phasianus colchicus,Phasianidae,Galliformes,other,25.3687618009306,0.75524166675,0.11855025,1.139634166625,26
Phasianus versicolor,Phasianidae,Galliformes,other,25.756872250826,0.72,0.0809,0.89292,26
Phoebastria immutabilis,Diomedeidae,Procellariiformes,seabird,20.5418207269359,2.02,0.3215,3.054215,21
Phoebastria irrorata,Diomedeidae,Procellariiformes,seabird,19.0719879697426,2.2625,0.35275,2.92819,20
Phoebastria nigripes,Diomedeidae,Procellariiformes,seabird,19.7846671149211,2.265,0.3607,3.414205,20
Phoebetria palpebrata,Diomedeidae,Procellariiformes,seabird,19.6625350656342,2.18,0.338,2.96666666666667,20
Phoeniconaias minor,Phoenicopteridae,Phoenicopteriformes,other,22.4465218301115,1.27285,0.17843775,1.5378125,23
Phoenicopterus ruber,Phoenicopteridae,Phoenicopteriformes,other,22.834354151087,1.57342,0.26646,2.937357,23
Phoenicurus ochruros,Muscicapidae,Passeriformes,passerine,13.9118224553448,0.244484127,0.0121429366666667,0.01625,14
Phoenicurus phoenicurus,Muscicapidae,Passeriformes,passerine,14.1646025490463,0.2269,0.010457,0.014905,15
Phylloscopus collybita,Phylloscopidae,Passeriformes,passerine,13.7086762307619,0.177,0.00704666666666667,0.008305,14
Phylloscopus sibilatrix,Phylloscopidae,Passeriformes,passerine,12.8886517841753,0.2145,0.009079,0.0092,13
Phylloscopus trochilus,Phylloscopidae,Passeriformes,passerine,13.3438433896918,0.19258333325,0.0077175,0.008555,14
Pica pica,Corvidae,Passeriformes,passerine,17.7035307705563,0.54768214275,0.05985735725,0.2124275,18
Picus canus,Picidae,Piciformes,other,20.8354551635608,0.42275,0.0388675,0.137,21
Picus viridis,Picidae,Piciformes,other,20.6345229171961,0.4817083335,0.0504491665,0.176,21
Platalea ajaja,Threskiornithidae,Pelecaniformes,other,21.2149581028239,1.28,0.226,1.445,22
Platalea leucorodia,Threskiornithidae,Pelecaniformes,other,22.0946462638125,1.28,0.2378,1.7735,23
Plectrophenax nivalis,Calcariidae,Passeriformes,passerine,15.6778557841768,0.320675,0.01694,0.0400875,16
Plegadis chihi,Threskiornithidae,Pelecaniformes,other,20.1054874125005,0.923,0.126,0.566445,21
Plegadis falcinellus,Threskiornithidae,Pelecaniformes,other,21.5827729606458,0.89,0.0986,0.596305,22
Pluvialis apricaria,Charadriidae,Charadriiformes,other,20.5597206736784,0.56,0.05,0.202,21
Pluvialis fulva,Charadriidae,Charadriiformes,other,21.3019909425686,0.51,0.0317,0.16245,22
Pluvialis squatarola,Charadriidae,Charadriiformes,other,20.9617391986563,0.61,0.0485,0.23225,21
Podiceps cristatus,Podicipedidae,Podicipediformes,other,25.1310642921698,0.745333333333333,0.0710433333333333,0.756646666666667,26
Poecile palustris,Paridae,Passeriformes,passerine,14.1569802732695,0.18725,0.008494375,0.01102,15
Polemaetus bellicosus,Accipitridae,Accipitriformes,other,18.9994468446731,2.119,0.63981,3.94817,19
Polihierax semitorquatus,Falconidae,Falconiformes,other,19.1483988423926,0.3717,0.02045,0.0605,20
Porzana carolina,Rallidae,Gruiformes,other,20.2620814293229,0.36,0.0218,0.0749,21
Porzana porzana,Rallidae,Gruiformes,other,20.2628873805084,0.379333333333333,0.0250266666666667,0.0855833333333333,21
Procellaria aequinoctialis,Procellariidae,Procellariiformes,seabird,20.8544074274791,1.4,0.1637,1.2409,21
Procellaria cinerea,Procellariidae,Procellariiformes,seabird,22.6600452109343,1.19,0.1072,1.085,23
Procellaria westlandica,Procellariidae,Procellariiformes,seabird,20.4669021852235,1.4,0.1632,1.15675,21
Prunella modularis,Prunellidae,Passeriformes,passerine,15.7216558438222,0.2067333334,0.009205,0.01958,16
Pseudobulweria rostrata,Procellariidae,Procellariiformes,seabird,18.4711608136789,1.047,0.0938,0.41,19
Psittacus erithacus,Psittacidae,Psittaciformes,other,19.3153439587966,0.71,0.071,0.2665,20
Pterocles coronatus,Pteroclidae,Pterocliformes,other,23.2351905315991,0.57,0.0432,0.3,24
Pterocles orientalis,Pteroclidae,Pterocliformes,other,21.8383375525678,0.72,0.0721,0.407435,22
Pterodroma alba,Procellariidae,Procellariiformes,seabird,17.3173702470009,0.947,0.0803,0.273,18
Pterodroma brevipes,Procellariidae,Procellariiformes,seabird,16.5387373453108,0.713,0.0524,0.134025,17
Pterodroma cervicalis,Procellariidae,Procellariiformes,seabird,18.4772591641921,1.053,0.0998,0.428495,19
Pterodroma cookii,Procellariidae,Procellariiformes,seabird,18.4089241919312,0.73,0.0508,0.188455,19
Pterodroma deserta,Procellariidae,Procellariiformes,seabird,19.7720723988533,0.83,0.0603,0.3035,20
Pterodroma externa,Procellariidae,Procellariiformes,seabird,18.8946235748418,1.0335,0.0918,0.42675,19
Pterodroma heraldica,Procellariidae,Procellariiformes,seabird,18.5100792090952,0.934,0.0778,0.33,19
Pterodroma hypoleuca,Procellariidae,Procellariiformes,seabird,17.3783119976502,0.766,0.0551,0.174,18
Pterodroma inexpectata,Procellariidae,Procellariiformes,seabird,20.2491568093898,0.841,0.05875,0.32975,21
Pterodroma lessonii,Procellariidae,Procellariiformes,seabird,21.7468721725803,1.01,0.0815,0.642,22
Pterodroma leucoptera,Procellariidae,Procellariiformes,seabird,16.7948012591167,0.748,0.0559,0.153525,17
Pterodroma longirostris,Procellariidae,Procellariiformes,seabird,16.8458360657329,0.718,0.0529,0.143,17
Pterodroma mollis,Procellariidae,Procellariiformes,seabird,19.5754814020224,0.83,0.0603,0.294,20
Pterodroma neglecta,Procellariidae,Procellariiformes,seabird,18.8929182416472,1.01,0.0968,0.435,19
Pterodroma nigripennis,Procellariidae,Procellariiformes,seabird,17.0224718711118,0.756,0.0559,0.162325,18
Pterodroma phaeopygia,Procellariidae,Procellariiformes,seabird,19.5770163705823,0.97,0.0768,0.40441,20
Pterodroma pycrofti,Procellariidae,Procellariiformes,seabird,16.9085002540478,0.693,0.0495,0.1355,17
Pterodroma ultima,Procellariidae,Procellariiformes,seabird,18.6742579772242,0.962,0.0867,0.367,19
Ptilopsis leucotis,Strigidae,Strigiformes,other,18.7954037639394,0.6668,0.06769,0.21485,19
Ptychoramphus aleuticus,Alcidae,Charadriiformes,seabird,23.6335424095563,0.441,0.0262,0.187,24
Ptyonoprogne rupestris,Hirundinidae,Passeriformes,passerine,13.8213288365353,0.325,0.01145,0.02095,14
Puffinus assimilis,Procellariidae,Procellariiformes,seabird,21.8255020150186,0.6,0.0383,0.232,22
Puffinus huttoni,Procellariidae,Procellariiformes,seabird,22.2943798252859,0.74,0.0487,0.364,23
Puffinus lherminieri,Procellariidae,Procellariiformes,seabird,19.0227625553662,0.671,0.0461,0.18038,20
Puffinus nativitatis,Procellariidae,Procellariiformes,seabird,20.1111235366746,0.8255,0.0697,0.34675,21
Puffinus newelli,Procellariidae,Procellariiformes,seabird,20.9809218664686,0.8,0.0623,0.3644,21
Puffinus puffinus,Procellariidae,Procellariiformes,seabird,22.0671070542521,0.806666666666667,0.0586333333333333,0.429296666666667,23
Pygoscelis adeliae,Spheniscidae,Sphenisciformes,seabird,31.4850691319097,0.68,0.0288,4.323835,32
Pygoscelis antarcticus,Spheniscidae,Sphenisciformes,seabird,29.7390621244848,0.72,0.0312,3.97304,30
Pygoscelis papua,Spheniscidae,Sphenisciformes,seabird,30.6767370106091,0.88,0.0392,5.566475,31
Pyrrhula pyrrhula,Fringillidae,Passeriformes,passerine,14.7576084914486,0.26266666675,0.01394333325,0.0235425,15
Rallus aquaticus,Rallidae,Gruiformes,other,20.9403377364967,0.384083333,0.0309875,0.111085,21
Rallus longirostris,Rallidae,Gruiformes,other,22.5105442667819,0.525,0.054,0.278175,23
Regulus ignicapilla,Regulidae,Passeriformes,passerine,13.8363352418236,0.143,0.00468666666666667,0.00566666666666667,14
Regulus regulus,Regulidae,Passeriformes,passerine,13.3106706864396,0.152125,0.0052775,0.00546,14
Remiz pendulinus,Remizidae,Passeriformes,passerine,14.4838338215688,0.166,0.006395,0.0093,15
Riparia riparia,Hirundinidae,Passeriformes,passerine,13.0048807320589,0.2716,0.010327,0.0131475,14
Rissa brevirostris,Laridae,Charadriiformes,seabird,18.7478353563424,0.928702857,0.093757187,0.37314285715,19
Rissa tridactyla,Laridae,Charadriiformes,seabird,18.83404696588,0.973,0.0967,0.406995,19
Rynchops niger,Laridae,Charadriiformes,seabird,16.4624787352826,0.99,0.0888,0.263865,17
Sagittarius serpentarius,Sagittariidae,Accipitriformes,other,19.4096617889184,2.1204,0.55775,3.84705,20
Saxicola rubetra,Muscicapidae,Passeriformes,passerine,14.4831341099415,0.232962963,0.0102937036666667,0.0165,15
Scolopax rusticola,Scolopacidae,Charadriiformes,other,21.626273512619,0.64008333325,0.06213916675,0.316113333375,22
Seiurus aurocapilla,Parulidae,Passeriformes,passerine,14.786617274287,0.242,0.0111,0.019375,15
Serinus serinus,Fringillidae,Passeriformes,passerine,13.6894930417676,0.2136,0.00875533333333334,0.0111666666666667,14
Setophaga americana,Parulidae,Passeriformes,passerine,13.7206539252584,0.18,0.00685,0.00837,14
Setophaga caerulescens,Parulidae,Passeriformes,passerine,13.8084849381757,0.195,0.008,0.01007,14
Setophaga citrina,Parulidae,Passeriformes,passerine,13.6898878145816,0.206,0.0087,0.01077,14
Setophaga dominica,Parulidae,Passeriformes,passerine,13.2774034181363,0.206,0.0091,0.009845,14
Setophaga ruticilla,Parulidae,Passeriformes,passerine,13.0149575675589,0.195,0.00782,0.00797,14
Setophaga striata,Parulidae,Passeriformes,passerine,13.6322162964248,0.23,0.0091,0.01217,14
Setophaga tigrina,Parulidae,Passeriformes,passerine,13.6020746176184,0.208,0.0078,0.01002,14
Sitta europaea,Sittidae,Passeriformes,passerine,14.5929278581116,0.2514285715,0.0137914285,0.021485,15
Sittiparus varius,Paridae,Passeriformes,passerine,14.9580551582048,0.197,0.01072,0.0165,15
Somateria mollissima,Anatidae,Anseriformes,other,26.3848183833949,0.978666666666667,0.131,2.02679833333333,27
Somateria spectabilis,Anatidae,Anseriformes,other,26.3838328508998,0.93,0.108,1.644855,27
Spatula clypeata,Anatidae,Anseriformes,other,23.4641492309218,0.78,0.075,0.60528,24
Spatula discors,Anatidae,Anseriformes,other,23.2700255167912,0.64,0.049,0.36722,24
Spatula querquedula,Anatidae,Anseriformes,other,23.2999416046872,0.557,0.050925,0.3258,24
Sphyrapicus varius,Picidae,Piciformes,other,17.403262822984,0.39,0.0239,0.0503,18
Spinus spinus,Fringillidae,Passeriformes,passerine,14.5245531650209,0.20776,0.0077456,0.01289,15
Stephanoaetus coronatus,Accipitridae,Accipitriformes,other,20.8647882200269,1.52,0.54153,3.5075,21
Stercorarius longicaudus,Stercorariidae,Charadriiformes,seabird,17.0607471824395,0.985333333333333,0.0887333333333333,0.289283333333333,18
Stercorarius parasiticus,Stercorariidae,Charadriiformes,seabird,17.9625000274384,1.04933333333333,0.115,0.424488333333333,18
Stercorarius pomarinus,Stercorariidae,Charadriiformes,seabird,18.8647803598605,1.176,0.1533,0.673235,19
Sterna forsteri,Laridae,Charadriiformes,seabird,16.0292533626212,0.782,0.0589,0.145,17
Sterna hirundo,Laridae,Charadriiformes,seabird,15.8471557342982,0.769333333285714,0.0513647618571429,0.126860714285714,16
Sterna paradisaea,Laridae,Charadriiformes,seabird,14.9405461353763,0.7706,0.0523,0.1086,15
Sternula albifrons,Laridae,Charadriiformes,seabird,16.9745577523698,0.496666666666667,0.01938,0.0543333333333333,17
Streptopelia decaocto,Columbidae,Columbiformes,other,20.1420216672279,0.474675,0.04517225,0.14898,21
Streptopelia orientalis,Columbidae,Columbiformes,other,22.8822714451994,0.44,0.0326,0.18997,23
Streptopelia roseogrisea,Columbidae,Columbiformes,other,19.5543936125189,0.523,0.0471,0.1525,20
Streptopelia turtur,Columbidae,Columbiformes,other,19.3179166135423,0.52,0.04,0.132,20
Strix aluco,Strigidae,Strigiformes,other,18.1954639525099,0.923666666666667,0.224905555666667,0.69073,19
Strix uralensis,Strigidae,Strigiformes,other,18.4256833588856,1.03522222233333,0.264144444333333,0.765113333333333,19
Strix woodfordii,Strigidae,Strigiformes,other,18.5030068416686,0.7879,0.12031,0.3474,19
Sturnus vulgaris,Sturnidae,Passeriformes,passerine,17.061027727843,0.3841944445,0.0244435,0.0798291666666667,18
Sula dactylatra,Sulidae,Suliformes,seabird,20.8899041542006,1.6015,0.2174,1.77854,21
Sula leucogaster,Sulidae,Suliformes,seabird,20.0029488249208,1.50166666666667,0.1935,1.28741,21
Sula nebouxii,Sulidae,Suliformes,seabird,20.1747889299258,1.555,0.2126,1.474045,21
Sula sula,Sulidae,Suliformes,seabird,18.7894720719344,1.49866666666667,0.205966666666667,1.07305,19
Sylvia atricapilla,Sylviidae,Passeriformes,passerine,14.9333649896096,0.2253,0.00993358325,0.017775,15
Sylvia borin,Sylviidae,Passeriformes,passerine,14.9309929598715,0.229166666666667,0.00996222233333333,0.018,15
Synoicus chinensis,Phasianidae,Galliformes,other,22.7771403750786,0.24,0.0081,0.048705,23
Synthliboramphus antiquus,Alcidae,Charadriiformes,seabird,24.5834176127527,0.446,0.0244,0.21636,25
Synthliboramphus craveri,Alcidae,Charadriiformes,seabird,24.1502637715199,0.412,0.0189,0.1615,25
Synthliboramphus hypoleucus,Alcidae,Charadriiformes,seabird,24.4537086353316,0.421,0.0207,0.1835,25
Tachycineta bicolor,Hirundinidae,Passeriformes,passerine,13.518651296242,0.319,0.0135,0.020625,14
Tachymarptis melba,Apodidae,Caprimulgiformes,other,18.3872711470592,0.5235,0.02937125,0.094175,19
Terathopius ecaudatus,Accipitridae,Accipitriformes,other,19.4892157086073,1.8619,0.35303,2.29585,20
Tetrao urogallus,Phasianidae,Galliformes,other,25.663478092224,1.16,0.1785,2.708305,26
Thalassarche bulleri,Diomedeidae,Procellariiformes,seabird,20.8631975735161,2.05,0.2538,2.896755,21
Thalassarche chrysostoma,Diomedeidae,Procellariiformes,seabird,20.7453440663841,2.144,0.32538,3.554015,21
Thalassarche melanophris,Diomedeidae,Procellariiformes,seabird,20.41328487561,2.152,0.33884,3.42957,21
